"low_close_ratio","close_lastclose_ratio","close_ma5_ratio","volume_ma10_ratio","volume_ma15_ratio","volume_ma60_ratio","atr5_ratio","kama5_ratio","wma5_ratio","rsi5_ratio","slowk5_ratio","macdsignal5_ratio","macdhist5_ratio","cci5_ratio","cmo5_ratio"
0,-0.3238095238,-0.259144645,-0.0036922568,0.0206112397,0.0745161883,0.1179258012,-0.1387905887,-0.2492438704,-0.089960972,-0.1654549463,0.0042068398,0.0001076296,-1.7460707343518E-15,0.0017995645
-0.1142109065,-0.2163636364,-0.3505671886,0.0385008928,0.0635837494,0.1380497118,-0.0282178298,-0.2073283293,-0.3304044472,-0.0571134892,-0.1340985185,0.0035679625,0.00006873,1.61947257737058E-14,0.0005016807
-0.2236958444,0.1436619718,-0.1226068438,-0.0594784182,-0.02554822,0.0284504667,-0.1285184023,-0.1125872082,-0.1651429155,0.189005522,-0.1406432737,0.001339434,-0.000354035,-7.15851515526851E-15,-0.0011480125
-0.2512639942,-0.1406896552,-0.1704566893,-0.1063008753,-0.0708662627,-0.0296079617,-0.0961280999,-0.1116120583,-0.1838664768,-0.042028085,-0.3126234993,0.0007425401,-0.0002627701,4.41718571225494E-15,0.0006580348
-0.1345267636,0.1276995305,0.0263387731,-0.1383898488,-0.1025310633,-0.0672795002,-0.1406718235,-0.0640049123,-0.0402367278,0.1232151127,-0.2820574996,-0.0004238224,-0.001071427,-1.28396445525095E-14,-0.0013662359
-0.4081338088,0.2976958525,0.2647217661,-0.0894574527,-0.0711721721,-0.0258017365,0.0073335674,0.0023750243,0.2208898146,0.1539588076,0.613947403,-0.0022531205,0.0027808917,-4.82687076245347E-13,-0.0042250003
-0.1714672992,0.0150110375,0.1952987201,-0.0786920388,-0.0812979137,-0.0360637067,-0.1546433605,0.0164278169,0.2006731312,0.0045290571,0.3141058623,-0.0032215975,0.0001338318,-5.03575633612759E-15,0.0006424705
-0.1551603294,-0.2246696035,-0.0315351554,0.0387077764,0.0071085651,0.0727027591,0.0749843663,-0.0045874357,-0.0144218459,-0.0746192076,0.087926304,-0.0023840364,-0.0002878176,-1.10035883357262E-14,-0.0089809352
-0.0900997151,-0.108428246,-0.1486709169,-0.0560597783,-0.0661796638,-0.0141496969,-0.1271921346,-0.0107915411,-0.0948716807,-0.0377237905,-0.0028172187,-0.0010584278,-0.0004226464,-7.55384423380847E-14,0.0018985917
-0.0685265439,-0.0944444444,-0.2123381008,-0.0830364471,-0.0975581016,-0.0520568569,-0.1451024446,-0.0202482427,-0.1702945859,-0.0353657761,-0.090105835,0.0001656033,-0.000766018,3.6438664730348E-15,0.0009740892
-0.2829977629,0.3352112676,0.1064588658,-0.0185909896,-0.049030414,-0.006084378,0.0498896583,-0.0018817177,0.0651873613,0.2240499131,0.2209670258,-0.0024107131,-0.0105262372,-1.64613193429886E-14,-0.0041554023
-0.0658968571,-0.0608501119,0.0809686778,-0.125154127,-0.1260221174,-0.104988054,-0.1512088572,-0.0078208157,0.0355791572,-0.0219658333,0.1708704672,-0.0030302214,2.72907149442232E-05,2.6325856265082E-14,-0.0026322918
0,-0.230248307,-0.1046288396,-0.0430392869,-0.0728889203,-0.0552974285,-0.048820223,-0.023589118,-0.0981119228,-0.0754902857,-0.0252303423,-0.0005252358,-0.0005782997,-2.11425340889447E-14,-0.0437192569
-0.2416218093,0.238317757,0.0809686778,-0.0534184367,-0.0785572875,-0.065694096,-0.0400880656,-0.0055987562,0.0819973606,0.118435071,0.1594000861,-0.0026295383,0.002555599,-2.06435010453892E-14,-0.0040427865
-0.2792494481,0.1534988713,0.1456801428,-0.0173800379,-0.0404519882,-0.0407782685,-0.0327629455,0.0116044419,0.1630221248,0.0431718514,0.162973472,-0.0061709745,0.0006066471,5.69525324880131E-14,0.0086132364
-0.0438322938,-0.1350993377,0.0257431428,-0.0186354464,-0.0357462802,-0.0439359707,-0.0487120144,-0.0015840636,0.0123931642,-0.0459752366,-0.0831647191,-0.0067177938,-0.0002614583,-6.41826545558258E-15,-0.0028983855
-0.089684509,-0.1531531532,-0.09190528,-0.059236598,-0.0570169954,-0.0729138266,0.0731128489,-0.0112401892,-0.084610328,-0.0520961152,-0.1759614404,0.0007256328,-0.0007068576,-2.35579528499991E-14,-0.0252203957
-0.1853479853,-0.2193548387,-0.2709561603,0.132079562,0.0897040289,0.0390333884,0.1434482916,-0.0188772861,-0.2117978474,-0.068949248,-0.1088139995,0.0156805063,0.0145409086,3.369740738366E-14,0.0040329486
-0.0226824458,0.1457142857,-0.1015358362,-0.0323204798,-0.0428896997,-0.064792301,-0.0553157613,-0.0297933043,-0.1033384898,0.10028032,0.0840401897,0.0043512318,-0.0002757538,-8.92017581474085E-15,-0.0019806426
-0.2894736842,0.1268065268,0.0613719379,-0.0115305456,-0.0274437233,-0.0515573295,-0.0247230217,-0.0206242163,0.0106246283,0.0582007921,0.1486228028,-0.0008187759,-0.0008342404,-1.17044216122519E-14,-0.0039803682
-0.1314968815,0.1089244851,0.1636585012,-0.0204365879,-0.0382007593,-0.0618717092,-0.0623086253,-0.0003392279,0.1189039196,0.038230457,0.0427657604,-0.0046080958,0.0028771367,-2.54338138115033E-13,0.0141029664
-0.172991453,0.0918918919,0.2030716724,-0.066533072,-0.0678828845,-0.0868548647,-0.1389496873,0.0079489218,0.1810362454,0.0267534469,0.0973796618,-0.0102752411,0.000332402,-2.60453176040665E-15,0.0020998191
-0.1088452934,-0.0453333333,0.0802349335,0.0074669141,0.0037102397,-0.0413980799,0.0215320852,0.000287796,0.1142737797,-0.0218262783,0.1239950949,-0.029479409,-0.0001568198,-3.43059554398924E-15,-0.0011395521
-0.0222672065,-0.1521252796,-0.0856555135,-0.0057804504,-0.0014193745,-0.0479736977,-0.0529132836,-0.0127258489,-0.0453325969,-0.0688202627,-0.0746423045,0.0023345035,-0.0006107473,-1.98304504203629E-14,-0.0051036646
-0.2804878049,0.2178489703,0.0737685214,0.0176150656,0.017757082,-0.0330821466,-0.0195611597,0.010113396,0.0826956627,0.1041660341,-0.0597096993,0.01303224,0.003688915,-2.28905765398056E-14,-0.0102768877
-0.1891510218,0.1809312639,0.1884891234,0.1655087852,0.1590622682,0.0739461157,0.0326565285,0.0491030809,0.1767323035,0.0433476814,0.075751099,0.0150933887,0.0008265155,7.99109946526853E-14,0.0027101311
-0.1674110835,0.0293736501,0.1732666324,-0.1311356891,-0.1078449615,-0.1191573662,-0.1172613562,0.0399402594,0.1562281479,0.0056476919,0.1718990694,0.0073208731,4.93264615502607E-06,-6.17972387899687E-15,0.0002221407
-0.062111293,0.0731182796,0.1770563662,-0.0128592839,-0.0180477393,-0.0547013926,-0.099991154,0.0896874682,0.1745335958,0.0143207026,0.1467967032,0.004523039,-3.97921974028728E-05,3.27541900757632E-16,0.0005377979
