"close","volume_ma15_ratio","volume_ma30_ratio","volume_ma60_ratio","trsrange_ratio","adosc5_ratio","dmi5_ratio","mom5_ratio","macd5_ratio","macdsignal5_ratio","cci5_ratio","dx5_ratio","cmo5_ratio","ppo5_ratio","ultosc5_ratio"
0.7638483965,-0.0529266931,-0.0389132353,-0.0366236244,0,0.0006625911,0.0001547791,0.0052910053,-0.0008895995,-0.0007326119,2.97166450686232E-14,0.0001547791,-0.0003242692,0.0143171961,-0.011350134
0.7580174927,-0.0340126558,-0.0258161458,-0.0278976736,0.1351351351,0.0003933771,-0.0003490055,-0.0519480519,-0.0027333324,-0.0013137023,1.84481683929591E-14,-0.0003490055,-0.0001701453,-0.0062996299,-0.2740848247
0.7696793003,-0.0153828275,-0.0119998714,-0.0193646073,-0.0525525526,-0.0002841723,5.42204710055124E-19,-0.0274725275,0.0031215742,-0.0003111805,-4.27187354464794E-14,5.42204710055124E-19,-0.0004736938,-0.0026461855,0.2497885396
0.778425656,-0.0167753257,-0.0114322833,-0.0201818146,0.0245700246,-0.0011619469,-0.0004028311,0.0357142857,0.0038438513,0.0011257653,5.2006064387573E-14,-0.0004028311,0.000075359,-0.0027134648,0.2349182909
0.7696793003,-0.0311869395,-0.0222650988,-0.0291276268,-0.0311850312,-0.0009657312,-1.99698878579415E-19,0.0142857143,-0.0010238965,9.90911178594709E-05,-1.55390085771906E-14,-1.99698878579415E-19,-7.45336030801924E-05,-0.0009004416,0.0540161786
0.7915451895,0.0318618557,0.0220309356,0.0010728355,0.0675675676,-0.0043417462,0.0042099597,0.0327380952,0.004709988,0.0018617411,4.82445290798978E-14,0.0042099597,0.0003597636,0.0073336393,0.1655056713
0.7959183673,-0.007973592,-0.0045076638,-0.0168179545,-0.045045045,0.0070424681,0.000269375,0.0087719298,0.0017706436,0.0017503895,-7.08375503014849E-15,0.000269375,1.14707532751974E-05,0.0223818319,0.0824027833
0.8002915452,0.0011386113,0.0009606802,-0.0127495647,0.027027027,0.0009570812,0.0001463801,-0.0045787546,0.0008921041,0.0012619608,-3.09399111705338E-15,0.0001463801,1.06672428255057E-05,0.0037620009,-0.0169079965
0.7988338192,-0.0233664106,-0.0178538382,-0.0255401666,0.0112612613,-1.31533445433569E-05,1.89229315709096E-05,-0.0079365079,-0.0001254403,0.0005692982,-8.41916148080793E-15,1.89229315709096E-05,-1.13782686207575E-05,0.0013302406,-0.1013941622
0.7930029155,-0.0047808726,-0.0070063039,-0.0182846682,0,8.0873152896614E-05,-0.0006278199,0.0034013605,-0.0011021314,-0.0001519315,-4.35255046405346E-14,-0.0006278199,-5.16148900116072E-05,0.0010407179,0.0610543663
0.7959183673,-0.0326625545,-0.0245759257,-0.0306383611,-0.0727650728,-0.0001363733,-4.63538194663322E-19,-0.0193452381,-0.0007398747,-0.0003596281,-2.05051391687754E-14,-4.63538194663322E-19,3.07734653846703E-05,-0.0020574155,-0.1021234372
0.7725947522,0.2059071815,0.1227784504,0.0787745624,0.4054054054,-0.0017159976,0.0012071015,-0.1507936508,-0.0042859805,-0.0016825252,3.77060967287419E-13,0.0012071015,-0.0002101725,-0.0063617965,-0.1458657633
0.7623906706,0.0796371201,0.042887741,0.0227863276,-0.0619369369,-0.001931294,0.0001674914,0.0148809524,-0.0114297335,-0.0032475594,-4.97582792631554E-15,0.0001674914,4.52465883415743E-05,-0.0149652601,-0.0152503824
0.7623906706,0.0937887971,0.0607247766,0.0354218502,0.0831600832,-0.0089996936,-0.0006003009,-0.0009157509,0.0080429582,-0.0061785911,-1.22310913178793E-14,-0.0006003009,-1.58119830111735E-20,0.0525540859,-0.0679295459
0.7813411079,0.05483963,0.0398898529,0.022007105,-0.0257400257,-0.0034313167,-0.0001900936,-0.0161904762,-0.0033051732,0.3482901596,-2.72565303111365E-14,-0.0001900936,-0.0001220369,0.0060217687,0.1401065296
0.77696793,-0.0428881045,-0.0253557746,-0.027999103,-0.039745628,0.0046152213,-0.0007812048,0.0148809524,-0.0017593013,0.0019961338,-1.48903986223952E-12,-0.0007812048,-0.0001238187,0.0027158093,-0.0650610975
0.8119533528,0.1091556174,0.0880925358,0.0629802534,0.1463963964,0.0249184316,0.0224555407,-0.0732600733,-0.0264457551,-0.0126220712,2.89977638267994E-14,0.0224555407,-0.0028110944,-0.0059238682,0.2925751812
0.8367346939,0.1449879314,0.1246332517,0.0966192262,-0.0162162162,0.0012632211,0.000471178,0.0211640212,0.0101709408,0.02211096,-2.44537365492375E-15,0.000471178,3.31195342648669E-05,-0.0206603119,0.0710101294
0.8381924198,-0.0192965644,-0.0008892391,-0.0042055256,-0.0675675676,0.0007480523,-0.0001017634,0.0004668534,0.0019135354,0.0044410599,-1.13089537651251E-14,-0.0001017634,1.25210322358355E-06,0.0289049436,0.0906283163
0.8206997085,-0.0318005659,-0.0085145202,-0.0113039082,0.0982800983,0.0004249203,-0.0005734671,-0.0114468864,-0.0008343657,0.0010385585,-2.25164989041716E-14,-0.0005734671,-6.43194251140753E-05,0.0038288791,-0.1024889989
0.8177842566,-0.0321967487,-0.010172474,-0.0113361543,0,-0.0001980914,0.0006148877,0.0008818342,-0.0011572468,6.4728201377285E-06,-4.37063183388188E-14,0.0006148877,-2.57722718143788E-05,0.003401825,-0.048446848
0.8265306122,-0.0249789626,-0.0044415626,-0.0058358728,-0.0071123755,-0.0001386781,-1.80583239419154E-19,-0.0153061224,-0.0002996551,-0.0001083539,5.49263466953058E-14,-1.80583239419154E-19,7.19493158276807E-05,-0.0011853985,-0.0725047105
0.806122449,0.0017486688,0.017834444,0.0134101364,-0.0075075075,-0.0007792511,-0.0005938647,-0.0738095238,-0.0026840789,-0.0010428776,1.0441663310415E-13,-0.0005938647,-0.0001355454,-0.0052220306,-0.1606884271
0.8090379009,-0.0204874036,0.0021318205,0.0013929917,-0.0317965024,-0.0005027185,-0.000848151,-0.0011337868,-0.0023621523,-0.0013661601,-7.15871806278281E-15,-0.000848151,-5.96764967797268E-05,-0.0090904303,0.0113895709
0.8294460641,-0.0143938666,0.0084663633,0.0085410444,0.0415800416,0.0003097941,0.0673093658,-0.030952381,0.0031676204,-0.0003772552,-4.91286499731146E-14,0.0673093658,-0.0008107572,-0.0105941455,0.1146296689
0.8236151603,-0.0491542075,-0.0198626474,-0.0160828478,-0.0476947536,0.0003275558,-1.8903472554952E-19,-0.0079365079,-0.0003077791,-0.0003449603,-1.42262589058421E-14,-1.8903472554952E-19,-4.65194639427906E-05,-0.0962988378,0.0849725918
0.7959183673,0.0047626983,0.0209519537,0.0188201593,0.171990172,-0.0004101566,-0.0002223589,-0.1488095238,-0.0059332622,-0.0022401382,-1.12438511660357E-13,-0.0002223589,-0.0002839021,0.0179166498,-0.1639396162
0.7871720117,-0.0444698863,-0.0198414982,-0.0171803513,-0.0540540541,-0.0007424824,0.0003511842,-0.0090702948,-0.0509449599,-0.0047771113,-4.91733768211895E-16,0.0003511842,0.000034412,-0.0017989266,0.0100846563
0.7944606414,-0.0395994886,-0.019078348,-0.0161158363,0.009009009,-0.0019556467,-0.0005633895,-0.0054945055,0.0015759642,-0.0153628411,-1.82503810125281E-14,-0.0005633895,-4.4890732584231E-05,-0.0026990118,-0.0814508595
0.7973760933,-0.0617554268,-0.0377054891,-0.0318681887,-0.0337837838,-0.0020633376,0.0011932536,0.0285714286,-0.0003964583,0.0056279296,1.1050997847844E-14,0.0011932536,-3.32422880146039E-05,0.0100262034,-0.0304209829
0.7871720117,-0.0650228965,-0.0403202409,-0.0333531069,0.0112612613,-0.0117301777,-0.0003640337,0.0032467532,0.0019466804,0.0030126024,-8.50711093597368E-15,-0.0003640337,0.0001229676,0.0057259363,-0.1489544397
0.7463556851,0.0630168506,0.0428418446,0.0457126716,0.2286902287,0.0034775963,0.0024395613,0.0085714286,0.0083684593,0.0058864389,1.04733507525964E-13,0.0024395613,0.0001131877,0.0018671671,-0.119978113
0.7084548105,0.1206561107,0.0698925077,0.0765071078,-0.0193050193,0.003853542,0.0001522265,0.0140056022,0.0048567584,0.0049529906,-8.04850657284784E-15,0.0001522265,1.99763807270895E-05,0.0049782538,-0.1332773576
0.7463556851,0.0352852864,0.0174363575,0.0274275681,-0.0135135135,-0.0005588884,-0.0002770344,-0.0092592593,-0.0007422449,0.0011822762,-1.67776754391335E-14,-0.0002770344,-7.33391376640675E-05,0.0020313041,0.4089154514
0.7252186589,0.0379711132,0.0199922161,0.0323629063,0.01001001,0.001234509,-0.0005059423,0.0119047619,0.0003191439,0.0007431508,-1.21435063608866E-14,-0.0005059423,6.46093324915512E-05,0.0021704896,-0.241248413
0.7142857143,-0.0291336038,-0.0219252005,-0.0103498146,-0.055917987,0.0009606882,0.0004045592,0.0002405002,0.0003466923,0.0005484161,3.95188302926685E-14,0.0004045592,1.88396708632905E-05,0.0017431946,-0.043152614
0.7463556851,-0.0353561631,-0.0264732438,-0.0151486535,0.039745628,-0.0003077256,-0.000394682,-0.0238095238,-0.0018324518,-0.0004673581,-5.4126266683405E-14,-0.000394682,-9.43922987484951E-05,-0.0017982216,0.3902296037
0.7376093294,-0.0576981924,-0.041788063,-0.0307000906,-0.0614250614,-0.0005043541,3.48620236441586E-19,-0.0095238095,-0.0011740667,-0.0006883384,-1.83690211069561E-14,3.48620236441586E-19,0.0002529816,-0.0047518498,0.1438878628
0.6989795918,0.0572738542,0.0277081059,0.0405095657,0.1689189189,0.0008536459,0.0015109616,-0.0625,0.0021026526,0.0001724513,-1.98641972931348E-13,0.0015109616,0.0002495535,0.0001014599,-0.3390772184
0.7099125364,-0.0328636238,-0.0278987997,-0.0159545338,-0.0900900901,-0.0001437679,2.56899660361334E-19,-0.0161172161,-0.00023297,9.96054436073714E-06,-1.04771472884874E-14,2.56899660361334E-19,-3.65913595589612E-05,-0.0041182911,0.2661108201
0.720845481,-0.0169338536,-0.0186451723,-0.00610165,0.2027027027,-0.0009411427,0.0001860734,-0.0340136054,-0.0012595356,-0.0004661827,-1.11804890968626E-14,0.0001860734,-5.66393922955471E-05,-0.0090036077,0.3871081862
0.720845481,-0.0374142403,-0.0304684005,-0.0205323006,-0.039039039,-0.0004991605,-0.000613919,-0.1164021164,-0.0012482769,-0.0007119945,-5.71201096327372E-14,-0.000613919,-3.15760022199989E-20,0.0115265832,-0.1724730378
0.7419825073,-0.0443690908,-0.0339585384,-0.025131003,0.0633445946,-0.0013484407,0.0005024941,-0.0278911565,-0.0033919567,-0.0015023112,2.93745042206407E-14,0.0005024941,-0.0002527535,0.0056304498,0.2499764604
0.7048104956,-6.5878063795831E-05,-0.005096456,0.0018282456,0.0201265095,0.0006253366,0.0002028022,0.0079365079,0.0036016054,-0.0004997186,-3.4566328577732E-14,0.0002028022,-0.0002544297,-0.0083095758,-0.0589518913
0.6814868805,0.125590122,0.0853614574,0.088115565,0.025025025,0.0027234227,0.0006807981,-0.1398809524,0.0040416925,0.0009843923,1.31505769089072E-13,0.0006807981,6.72614455728049E-05,0.0067125137,-0.1257112309
0.6997084548,0.034798378,0.0279832857,0.0354057933,-0.0527871622,-0.0007826525,3.06237481199059E-19,-0.0061050061,-0.0005673392,0.0002530056,-1.208501525573E-14,3.06237481199059E-19,-6.16817123192425E-05,0.0090567322,0.029036028
0.7142857143,0.0078378883,0.0094289207,0.014876512,-0.0346500347,-0.0014396491,-0.0006460671,-0.0164203612,-0.0020803568,-0.0006782899,-3.45215004807416E-14,-0.0006460671,-0.000108438,-0.0034955643,0.0630119414
0.7186588921,-0.0441669828,-0.0277920611,-0.0227026961,-0.0465983225,-0.0032248394,3.82187530377626E-19,0.0608465608,-0.0026479959,-0.0012634275,6.35475390588748E-14,3.82187530377626E-19,0.0005603929,0.0073485396,-0.0643626651
0.7172011662,-0.0503616905,-0.0336390516,-0.0282965996,-0.0213371266,0.0334025513,0,-0.0364583333,-0.0024878862,-0.0015234598,-1.72713279579581E-15,0,-0.000037878,-0.0011061508,0.2517137555
0.7696793003,0.1194167275,0.0779652181,0.0736514249,0.5067567568,0.0060860287,0.0020415603,0.1456582633,-0.0216384069,-0.0053069898,5.00757082858492E-14,0.0020415603,0.0012362132,-0.0209646656,0.3353335523
0.7551020408,-0.0242256365,-0.0160669287,-0.0116716784,-0.0746799431,0.0004436312,2.921073877252E-05,-0.0088547816,0.0024423176,-0.0310712614,-1.25061656779135E-14,2.921073877252E-05,-4.41997508206243E-05,0.018533893,-0.1383251639
