"high_close_ratio","close_ma5_ratio","close_ma15_ratio","volume_ma60_ratio","sar_ratio","adosc5_ratio","b_upper5_ratio","kama5_ratio","willi5_ratio","mom5_ratio","macd5_ratio","macdhist5_ratio","cmo5_ratio","rocr5_ratio","ultosc5_ratio"
0.103286385,0.0752433127,-0.1052289254,-0.0041889688,-0.04458072,-0.0003866898,0.0196565237,-0.0028152082,-0.0090078329,-0.0277777778,-0.0010696007,0.0009991943,-4.10121229870485E-19,0.1359980533,0.0472608319
0.0685358255,0.0748880563,-0.0578613433,-0.0790660361,-0.0395630349,-0.0004044781,0.0410007327,-0.018921425,-0.0085788885,0.0888888889,-0.0013726508,0.0003516559,-0.003930728,0.1102306121,0.0958612667
0.1746031746,-0.0545155192,-0.115019026,-0.0458762634,-0.0350766938,0.0004618912,0.0006555321,-0.0048034984,0.0514733308,-0.0266666667,0.0006284294,-0.0011719095,-0.0258563047,-0.1614170455,-0.1180156811
0.0350877193,-0.0953120716,-0.1016053217,-0.0168003214,-0.0136215418,-0.000413988,-0.0140912313,-0.0063639206,0.0042894442,-0.0444444444,0.000478459,-0.0014718175,0.0005836966,0.0553133474,0.0720525797
0.0341085271,0.095132407,0.0459803936,0.0594096588,-0.2459478689,-0.0017261736,0.0394973637,-0.0020254907,-0.0220599989,0.0222222222,-0.0023553974,0.0100736528,-0.0039883028,0.0262947289,0.0049579014
0.0675883257,0.1353930032,0.0934855093,-0.0130425074,0,-0.0030011185,0.0762421073,0.0027861539,0.0138582045,0.0222222222,-0.004978042,0.0009096534,0.0016092961,0.0536401624,0.0620918024
0,0.141630707,0.1062298513,-0.0419136634,0.0134101285,0.0269574567,0.0689839396,0.0060505178,-0.0128683327,0,0.0186892787,3.0129626381185E-05,0.0004915803,-0.0004966896,0.1312615749
0.1028037383,-0.0201575324,0.0200975394,-0.0571582726,0.0128413084,0.0004823,-0.007908496,-0.0079677513,0.1029466617,0,-0.0018138289,-0.0013162408,-0.0028191344,0.0020153141,0.0119626315
0.13771518,-0.0803306676,0.0028737746,0.0514026826,0.0122979295,-0.0006988942,-0.059058168,-0.0109477401,0.0107626055,0,-0.0035124548,-0.0021771938,0.0060398955,0.0005157016,-0.0660766294
0.0337941628,0.0400908846,0.0890870126,0.0349747516,0.0117787455,0.0002943574,0.0191897474,0.0016287719,-0.0139406938,-0.0111111111,0.0255575686,-0.0772829496,-0.0073779756,-0.0556548164,-0.0511431526
0,0.4089661482,0.3613820766,0.2891353054,0.0112825801,0.0063169299,0.3991143249,0.158141515,-0.0257366654,0.1333333333,0.0203006305,0.0114071947,0.0054236498,0.3154459381,0.2264113573
0.094017094,0.3965647634,0.386938169,0.112604248,0.0345665065,0.0006169928,0.2565796083,0.175868321,0.011878461,0.0031746032,0.0023184991,0.0004383682,0.0001795162,0.0480927228,-0.0481345546
0.0626780627,0.2618217663,0.351839045,-0.0087718461,0.0552002009,0.0002164955,0.1289741301,0.2783514575,0,0.0055555556,0.0005601285,-0.0004511388,0,0.1077816348,0.0557896801
0.0624113475,0.1503321095,0.3321994259,-0.0247111124,0.0502619293,3.65965192330801E-05,-0.0024592692,0.2283764847,-0.0054592927,0.0022222222,0.0001446955,-0.000704145,7.12014382965208E-05,0.0518299872,0.0299832941
0.1594202899,-0.0867143332,0.2027376657,-0.0358416645,0.0458075841,-0.000516055,-0.2121476466,-0.0010795049,0.0785645576,-0.0090909091,-0.0007991509,-0.0021286895,-0.00175135,-0.226717649,-0.1069494987
0.0616246499,0.1169802485,0.3321428226,0.0722604132,0.0417827,3.38727942617712E-05,0.0826059825,0.0443309246,-0.0117653328,-0.0102564103,0.0004379776,0.2200222169,0.0031488712,-0.1610618316,-0.0587561933
0.0905349794,0.2138463641,0.3921234631,0.0624659804,0.0550032725,0.0001482934,0.165258098,0.0849689282,-0.0016085416,0.0063492063,0.0006588453,0.0026725152,0.000549771,0.0456608849,0.023753608
0.0601092896,0.1817565736,0.3624937934,-0.0341511504,0.0762020879,0.0001088597,0.1112612124,0.0885691987,-0.0085788885,0.0024691358,0.0001772754,-0.0003660307,8.36473895183577E-05,0.0237297015,0.0387287763
0,0.174088797,0.3492164128,-0.0308449785,0.0661095622,0.0003216314,0.0990870295,0.0986297905,-0.0257366654,0.0022222222,7.00605094816937E-05,-0.0006111897,0.0001697656,0.0225262489,0.0692824691
0.2156862745,-0.1133034499,0.156831337,0.0065305908,0.0574613534,-0.0004797031,-0.0993780133,0.0092577529,0.1029466617,-0.0060606061,-0.00112361,-0.0063942199,-0.0023301788,-0.0662443681,-0.0722218583
0.0611111111,-0.0654883994,0.1650352931,-0.0348620438,0.0500249062,-0.0004777863,-0.0114963697,0.0040477772,0.0085788885,-0.0166666667,-0.000781181,0.0005575757,0.003874912,-0.146998136,-0.079372957
0.0924369748,-0.0956507784,0.098454531,-0.0370173863,0.0436112522,-0.0004011122,-0.0063794825,0.0083131591,0,-0.0777777778,-0.0011590259,0.0004963287,-0.0021219148,-0.1657124154,-0.0239434542
0.2184397163,-0.1325086911,0.011743979,-0.0670859483,0.3172117887,-0.0006726387,-0.0288669471,-0.0085522891,0.0069291022,0.0177777778,-0.0019199221,0.0004577954,-0.0166043115,-0.0960192345,-0.1213443904
0.1232492997,0.006063648,0.037574542,-0.0496693242,-0.0056148099,-0.000652643,-0.1717669011,0.0130633765,-0.0079939643,-0.0024691358,-0.0007255378,-0.0006329434,-0.0034974801,0.0261334574,-0.078655013
0.0593792173,0.2226695029,0.172161712,0.1003045872,-0.2754167753,0.0004058723,0.2043113241,0.0745033358,-0.0202216657,-0.0472222222,0.0045818454,-0.0024913973,0.0178364085,0.4192093656,0.2675173494
0.0887096774,0.203257904,0.1687886041,0.0217740651,0.0072961016,3.49208239987312E-05,0.1217356057,0.0647824255,0.0085788885,-0.0024691358,0.0012208626,0.0046095648,0.0001764481,-0.0249017758,-0.0278671863
0.0298102981,0.0950204602,0.1146995287,-0.0654093232,0.0161022698,0.0003032153,0.0469917689,0.0451327784,0.0171577769,0,-0.0001741663,-0.0011723125,-0.0009473098,0.0015631113,0.0112043326
0.0299319728,0.0058902593,0.0813156448,-0.0667610735,0.0154114664,0.0003778793,-0.0423037244,0.0597735969,0.0069640389,0.0055555556,-0.0005801322,-0.0031106386,-0.0007711384,0.0498730104,0.0995798396
0.0901639344,-0.0586152636,0.0506959243,-0.0585402554,0.0147522116,-9.77177182322867E-05,-0.0898060658,0.0199476409,0.025307721,-0.0088888889,-0.0008850627,0.0056278078,-0.0011820775,-0.0959239914,-0.0202898369
0.0296896086,0.0293076318,0.0857802359,-0.0121026694,0.0141229053,0.0002525703,0,0.0013990308,-0.0110299995,-0.0222222222,0.0001396333,-0.0010753082,0.0046687957,-0.1417946917,-0.0034750489
0,0.0117421456,0.0566417426,-0.0632151034,0.0135220415,0.0005106303,-0.0353236583,0.0129408219,-0.007353333,-0.0074074074,-0.0005040585,0.0008128714,-0.0009329758,-0.0465025602,0.0555609952
0.0295698925,0.0586152636,0.0879886795,-0.0284299425,0.0129482023,0.0005148105,0.0354932331,0.0174005463,-0.0144768743,-0.0444444444,0.00017147,-0.0012147214,0.0018330082,0.0941424029,0.0491279634
0.0294511379,0.064267789,0.100420928,-0.0317356022,0.0124000513,0.0003249371,0.0419700217,0.0552157475,0,0.0222222222,0.0001906451,-0.0018236722,0.0004948662,0.0468821729,0.0149815916
