"close","high_close_ratio","close_lastclose_ratio","volume_ma5_ratio","volume_ma60_ratio","b_lower5_ratio","dmi5_ratio","rsi5_ratio","slowk5_ratio","willi5_ratio","macd5_ratio","macdsignal5_ratio","macdhist5_ratio","cci5_ratio","rocp5_ratio"
0.4301675978,0.0461205461,-0.0393062397,0.091365887,-0.0365399996,-0.0444944328,-5.97700836726023E-05,-0.015510974,-0.0478923087,0,-0.0009167972,-0.0006286032,0.0010511946,0.8983957219,-0.0060888205
0.4506517691,0.0880483153,0.4342403628,0.4220522231,0.0763014598,-0.1785525619,0.0002954639,0.0944618719,0.0112657194,-0.032,0.0037477182,0.0009609413,-0.0028130531,-5.1231301553983E-14,-0.0926099303
0.4767225326,0,0.5275482094,0.4317076257,0.174303292,-0.2625556881,1.91855329600112E-05,0.0214125895,0,-0.04,0.0032773152,0.0027407694,0.0031732625,-1.34819214615742E-15,0.0376517128
0.4860335196,0.1632773357,0.1781063988,-0.0272020086,0.0245495198,-0.0187319142,0.000005992,0.0036527555,-0.0103376824,0.0345945946,0.0010868492,0.0019028257,0.0002370729,-6.78355869603394E-15,0.0021444838
0.4804469274,0.1651759094,-0.1048166393,-0.2048223313,-0.0448179834,0.3221185629,-1.4852359274427E-20,-0.0187171708,-0.0374894044,0.03,7.05358876169418E-05,0.0008188258,-0.0004391517,-8.32635467478485E-15,-0.0005340668
0.4767225326,0.0416165865,-0.0706902916,-0.1423667615,-0.0145631349,0.6546385862,-3.25811662521944E-05,-0.0142222428,0.0033924726,0.0128571429,-0.000256647,0.0002311278,-0.0008118901,-1.38309559808074E-14,-0.0006374656
0.4748603352,0.0417797888,-0.0356212798,-0.1236403061,-0.0193950714,0.482427752,-1.25839255277042E-05,-0.0084246011,-0.0546704751,0.04,-0.0003935258,-9.76069454762428E-05,-0.0017883945,-6.72747880932574E-14,-0.0093603469
0.4711359404,0.2105503192,-0.0715219421,-0.0755361147,-0.036648311,-0.0717801076,-5.56441670171241E-05,-0.0186288644,-0.0352030411,0.0133333333,-0.0005761609,-0.0003560254,0.0031552791,1.5848136248708E-14,-0.022639941
0.4394785847,0.7222946545,-0.6127423301,0.4851719442,0.1818700514,-0.6268958007,7.82461871114762E-05,-0.0888699861,-0.1199059181,0.0157142857,-0.0022049273,-0.0012328103,0.0026437124,1.98792253707923E-14,0.1333268216
0.4469273743,0.0443910256,0.1545601291,-0.0557269793,0.0021318063,-0.1859591417,0,0.0593886218,-0.0295808919,-0.0076923077,-0.0037385155,-0.0016637366,-0.0001057126,-9.52160703223704E-15,-0.0050483476
0.4450651769,0.2674605729,-0.0379960317,-0.0661073101,0.0007570491,-0.1050264197,-6.25630838562086E-05,-0.0067355197,-0.0402828757,0.0022222222,0.0078420858,-0.002419062,-0.0002207124,-1.03078560358892E-14,-0.0008953965
0.4432029795,0.0895281189,-0.038155011,-0.0713166958,0.002374602,0.0058940076,0.0001889204,-0.008001699,-0.1602690592,-0.0011336032,0.0013360751,-0.0050825424,-0.0002819244,1.40383182203063E-14,7.28844169246643E-05
0.4432029795,0.2685843568,0,-0.1744367081,-0.0380990638,0.2859737463,-0.000062905,0,-0.196373722,-0.0036,0.0003233835,0.0104810949,-0.0003964728,-2.35189639945061E-14,-0.0020568962
0.4432029795,0.1342921784,0,-0.1062914992,-0.0437389151,0.0627738746,7.84724835219577E-05,0,-0.1401716751,-0.0092307692,-1.49003646373576E-05,0.0016641974,-0.0005014605,-1.83103305431607E-13,-0.0212421015
0.4581005587,0,0.306522609,0.0323916092,-0.0054865855,-0.1480283184,-4.80522893065099E-05,0.1353331527,0.0683929472,-0.04,-0.0019847393,-0.0008480622,-0.0021386504,-7.5402460745806E-14,0.0362417763
0.4655493482,0.0426153846,0.1482771971,0.0444717972,-0.0037614509,-0.0727975961,0.0002107608,0.0203534019,0.0680617746,0.0039097744,-0.0066532039,-0.0026901449,0.0018139615,-2.18330711928338E-15,0.0156305054
0.4674115456,0.212228011,0.0364761905,0.1480810598,0.0313701611,0.0629151006,4.79054895640359E-05,0.0041582078,0.0897349636,0.1327272727,0.0031192798,-0.0097148433,8.70496306446632E-05,-3.04676191222023E-15,0.0034714753
0.4841713222,0.0409763314,0.3269778031,0.2106782808,0.0862529384,0.0599405218,2.39856521431837E-05,0.0250465123,0.1948175682,-0.0334814815,0.0030311215,0.0094119499,0.0006086653,3.24511163996729E-15,0.0128669028
0.4897579143,0.0810178415,0.1052197802,-0.1110680631,-0.0215532301,0.2806334647,1.22433548212383E-05,0.0045148405,0.2308013581,0.0464,0.0010162883,0.0027542802,1.60390668595106E-05,-2.93438608459226E-15,0.00253439
0.4841713222,0.1639053254,-0.1040195546,-0.1258609351,-0.027837405,0.2151552527,-2.30765399031924E-05,-0.0250528657,0.1169312311,0.085,-4.98323327048231E-05,0.000917226,-0.0005275529,-1.0347237097633E-14,-0.0085160997
0.4897579143,0,0.1052197802,-0.0521763651,-0.0003401655,0.1784534073,-0.000066397,0.0097236925,0.1456020147,-0.0211764706,8.9505727392578E-05,0.0005055982,-0.0003909984,-1.3094206073137E-14,-0.0016036654
0.5046554935,0.0786261709,0.2773854789,0.0519064263,0.0370379066,0.1932016602,0.000229107,0.0166013327,0.1320186504,-0.0076190476,0.0006252457,0.0006607624,0.0005925429,1.34905311066295E-13,0.0098936743
0.5102420857,0,0.1009488666,-0.0328855471,-0.0143027638,0.0068321555,4.86687183893277E-06,0.0039284514,0.1254175277,-0.04,0.0003376959,0.0005584848,-0.000010774,-5.88233026472638E-15,-0.0060259995
0.5009310987,0.2772376323,-0.1664059784,-0.1545156207,-0.0554947085,0.0623374276,0,-0.0367113895,0.0406193178,0.1225,-0.000353275,6.74065688002546E-05,-0.0010643582,-1.03178598292582E-14,-0.0107111588
