"high_close_ratio","volume_ma10_ratio","ad_ratio","obv_ratio","atr5_ratio","adosc5_ratio","b_upper5_ratio","dmi5_ratio","adx5_ratio","adxr5_ratio","slowk5_ratio","macd5_ratio","macdsignal5_ratio","dx5_ratio","cmo5_ratio"
0.082081142,-0.0376314608,1.17523486818934E-06,0.0499497113,0.0278719991,0.0009918286,0.1782203825,0.0017112467,0.0029969218,-0.122575372,0.2714049432,-0.0014390971,-0.0012091541,0.0017112467,0.0010895473
0.1090285358,-0.0876351578,-2.34547333442563E-07,0.0316076935,-0.0626526314,1.98235898912183E-05,0.1174762216,0.0002211009,0.1068113473,-0.0513902522,0.2133097835,-0.0020666547,-0.0016741601,0.0002211009,0.00008936
0.1082118426,-0.039423344,-1.30251768474085E-06,0.04100568,-0.075727717,-0.0012398479,0.0890619811,0.0001614912,0.1734524028,-0.1031936899,0.3023371007,-0.0065109104,-0.0024709234,0.0001614912,0.0001453273
0.0814639906,-0.0912199667,-1.38663361918167E-06,-0.0251139913,-0.1377958013,-0.002917574,-0.0938049473,0,0.1265130066,-0.0865299756,0.1709054449,0.0017202944,-0.0036631385,0,-0.0001083935
0.1922508877,-0.0053976625,-9.90109896768381E-07,-0.0442909722,0.0678495304,-0.0159817512,-0.0330391331,-0.0006018446,-0.2623020197,-0.1808129879,0.0448780711,-0.0012286418,-0.0059208177,-0.0006018446,-0.0004132626
0,-0.0494184061,1.83813628102275E-06,0.0330271644,-0.0535294397,-0.0011800398,0.0808982221,-4.03148741230253E-19,-0.2458354673,-0.0938196969,0.1939963633,0.0044147445,0.0444317186,-4.03148741230253E-19,-0.0039766317
0.0268518234,0.1849411191,0.000002376,0,-0.1001829485,-0.0080688185,0.0463477068,-0.0007578423,-0.3572913164,-0.0911328544,0.1543029798,0.0007723961,0.003865837,-0.0007578423,0
0.1098576501,0.0737993093,0,-0.0648787256,0.0939964467,0.0032153214,0.0041326081,0.4355290795,0.3620624138,0.2729247308,-0.0050963913,-0.0016222538,-0.0005478954,0.4355290795,-0.0005172454
0.1967392353,0.0291292499,-0.000002152,-0.0562427117,0.0131599194,-0.0019453881,0.0666748441,0.0001828344,0.3844076702,0.0074408664,-0.05757568,-0.0063521598,-0.0038730952,0.0001828344,0.0006722229
0.0843168151,-0.0414347287,-0.000000409,0,-0.0723668552,-0.0036535899,0.0202029209,4.5894437712143E-05,0.2899421205,0.0290673785,-0.1800910452,0.0026522427,-0.0202881897,4.5894437712143E-05,0
0.0557771467,-0.0138811823,0,0.0456685097,-0.0917993248,0.058571198,-0.1316461928,-0.0001759684,0.0710936462,-0.138653007,-0.1550941838,-4.6538742724937E-06,0.0038243794,-0.0001759684,-0.0001741081
0.0275692385,-0.0459169844,1.2037889846005E-06,0.0378164065,-0.0480029543,-0.0036881313,-0.2040921773,-0.0004310891,-0.1784091394,0.0215108768,-0.0610806803,-0.0010490831,9.71992513309487E-05,-0.0004310891,-0.000427749
0.1654154312,0.0046244856,-2.61362366935257E-06,0,-0.0062255599,-0.2226690253,-0.0266224815,0.0001187855,-0.127440456,0.1167195529,-0.0819304649,-0.0010779087,-0.0006987659,0.0001187855,-1.70456750630043E-19
0,-0.0111391067,2.64963197815884E-06,0.0478211915,-0.0050101099,-0.0024477977,0.1947344377,5.96848894738401E-19,-0.1097602719,0.1116830202,0.1145781567,-0.0055591291,-0.0033227981,5.96848894738401E-19,0.0036279574
0.026653655,-0.0009589623,8.97489484209572E-07,0.0496784084,-0.0727875042,-0.0093901701,0.1549331567,0.0007969174,0.1827178659,0.1520478502,0.1498420345,0.0053654125,-0.0145073887,0.0007969174,0.0001005922
0.1066146199,-0.0001416473,-3.95055345628346E-07,0,0.048250215,0.001573348,0.0628347508,0.0001967663,0.2591277922,0.0307809148,-0.0157206943,0.0008430637,0.0062537592,0.0001967663,0
0.0535047444,-0.0646376019,0,-0.0313641549,-0.0690424418,0.0003796395,0.0081948959,1.85799574086818E-19,0.1811065205,0.0428462505,-0.0602002178,-0.000027084,0.0016066801,1.85799574086818E-19,-9.7545050587853E-05
0.1078080671,-0.0060334794,0,-0.0426159987,0.0920772094,-2.71814194330383E-05,-0.1034021867,-0.0006579439,-0.2904307276,-0.2658366184,0.0163477537,-0.0006101049,0.0001539053,-0.0006579439,-0.000245225
0.0270529607,-0.0188768805,0.000001392,-0.0393318617,-0.0017787686,0.0026423462,0.0123360079,0.0001622676,-0.2600894657,-0.0695165496,0.095584914,-0.0008647869,-0.0005267705,0.0001622676,-0.0003420953
0.1660492068,0.1683211929,-3.21284494998611E-06,-0.0884152983,0.0333883297,-0.0032723727,0.063949952,0.0012041794,-0.0622661565,0.1337242315,-0.0192161835,-0.0031620517,-0.0021158043,0.0012041794,-0.0219239142
