"volume","open_lastclose_ratio","high_close_ratio","close_lastclose_ratio","ad_ratio","obv_ratio","sar_ratio","apo5_ratio","rsi5_ratio","willi5_ratio","macdsignal5_ratio","cmo5_ratio","ppo5_ratio","roc5_ratio","ultosc5_ratio"
0.1524827063,0.144076841,0.2440866627,-0.0150528043,0.0217837127,-0.0005873454,-0.0409014118,-0.0188014101,-0.0027244386,0.0059036888,-3.09942911822063E-06,0.0001381631,-0.0186775047,-0.0069112495,-0.0991220153
0.1256706899,-0.0641025641,0.292983073,-0.1506888634,0.006553061,-0.0005163259,-0.0378328535,-0.0308880309,-0.0287676572,0.0117110799,0.000001567,0.0012220806,-0.0307377141,-0.0975323691,-0.1404552431
0.1635870184,0.1295896328,0.1372987478,0.1523161729,0.0032703651,0.000711165,-0.0349803122,-0.6216216216,0.048288378,-0.013300157,-4.88292248810779E-06,-0.0006772455,-0.6172055308,-0.0002175536,-0.0311626975
0.1986596522,0.1282051282,0.4631049654,-0.1657577497,0.0124302453,-0.0008029014,-0.032330656,-0.0153562654,-0.0338437713,0.0231854839,-2.06813933651116E-07,0.0043919866,-0.0152435529,-0.0221089446,-0.0558927443
0.3761978734,-0.0972972973,0.5942919926,-0.5489310206,0.0240651843,-0.0016624134,-0.0298712438,0.0768136558,-0.0792384101,0.0047685835,2.52119155221501E-05,0.001273125,0.0768593813,-1,-0.2050489224
0.2067981535,0.1012373453,0.3753355482,-0.2221177577,0.0088426184,-0.0011101413,-0.0193371483,0.0240651611,-0.0318889277,0.0006437308,2.4484405724611E-05,0.0001117612,0.0242467756,0.0056314563,-0.0539075348
0.1600995839,0.12,0.064031703,0.2740298507,-0.0038507145,0.0009745276,-0.0783281972,0.0037211124,0.1662827887,-0.0068548387,7.95547623998137E-06,-0.0004222753,0.0038637564,-0.0090330483,0.1710143997
0.2480398495,0.033632287,0.0318729236,0.0632487785,-0.0096906317,0.0013680148,-0.069646427,0.0043036667,0.0192620543,-0.0020481311,4.12878868752074E-07,-0.0002011527,0.0044676715,0.0033910147,0.1828236714
0.1630879003,-0.1339285714,0.0479163415,-0.031483209,-0.0061279774,-0.0007852198,-0.061855553,0.0047520048,-0.0064190911,-0.0051889371,-2.55306851055306E-06,9.95406109027841E-05,0.0048300949,-0.0044644264,0.2224218504
0.1927578605,0,0.3898722121,-0.2366523089,0.0069898929,-0.0010126504,-0.0548794282,-0.0047991917,-0.0454245865,0.0091050989,3.07290093815407E-08,0.0006033898,-0.0046311944,-0.013745104,0.0694092526
