"low_close_ratio","volume_ma5_ratio","volume_ma10_ratio","ad_ratio","atr5_ratio","natr5_ratio","b_upper5_ratio","ema5_ratio","kama5_ratio","dmi5_ratio","rsi5_ratio","slowk5_ratio","willi5_ratio","ppo5_ratio","ultosc5_ratio"
0,-0.1696702806,-0.0681490699,0.0027444416,-0.0257671168,-0.0139331734,-0.013086705,-0.1025756517,-0.002813056,-0.0005760894,-0.021809491,-0.0466506138,0.0165208941,0.0116743038,-0.023894993
-0.0993319269,0.033677479,-0.0261245483,0.0016275832,-0.0044489898,-0.0172064591,-0.0584622005,-0.0332622534,-0.0440548622,-0.0010810106,0.0304777897,0.0160106942,-0.0059655402,-0.0148951656,-0.0991738711
-0.0199083862,-0.0821433253,-0.0701746999,0.0016895954,-0.0473021572,-0.0588580816,-0.0638831666,-0.0263631199,-0.0330508809,-2.78521911406869E-18,-0.0019817376,-0.0533007044,0.0007182997,0.6632928973,-0.0716395251
-0.0783090783,-0.1061951724,-0.081036807,9.69806312087248E-05,-0.0419387774,-0.0625587245,-0.1003106739,0.0149826588,-0.0049419434,-0.0011884961,0.0264558921,0.0213975446,-0.0157285197,0.0064787083,0.0490959044
-0.1153061224,-0.0544142313,-0.071806401,-0.0009638793,-0.0402683326,-0.0614517137,0.0450351163,0.0465864238,0.0016154059,0.0012521269,0.0224055248,0.2093200142,-0.0211180124,0.000595052,0.0499732431
-0.0288854806,-0.1132354164,-0.0906503159,0.0006514069,-0.0505626302,-0.0630427047,0.0141643649,0.0267748242,0.0085986547,0.0036243723,-0.0027546511,0.1790668076,0.0144927536,-0.0041111729,0.0661969165
-0.0095117845,0.0433853051,-0.0278720001,0.001795944,-0.0193298868,-0.0316822214,0.0321640692,0.0418804737,0.0254559739,0.0026435813,0.0147471432,-0.0144623352,0.0091250671,-0.0164684377,-0.0224421124
-0.0285353535,-0.0622773445,-0.0593663304,0.000610559,-0.043017982,-0.0545933327,-0.0047496549,0.0277215866,0.0199671851,-0.000503751,0,0.0058114009,0.0020703934,0.1251468766,0.0127905302
-0.0495614035,0.0806296157,0.0035377804,0.0012414947,0.0262226256,0.0605531254,0.0190751583,-0.0610306842,-0.0046300775,0.0002524646,-0.0535916187,-0.1248005025,0.0510510511,0.003709211,-0.0528519708
-0.1620276653,0.0144561468,-0.0143556693,-0.0012012478,0.0058915084,-0.0164449968,0.0083163805,0.0351331412,0.0003682402,-0.0008772628,0.0777403595,0.0961710066,-0.0208980331,-0.0012812025,0.0715289947
-0.0566132265,-0.0256379987,-0.0224995991,-0.0003169794,-0.0507052658,-0.0698615578,0.0218699666,0.0432278668,0.0026448011,-0.0021181529,0.0095371808,0.2122123776,-0.0135371875,-0.0032466314,0.0546778477
-0.0754843019,0.0258638004,0.0124107476,-0.0002728022,-0.0246964789,-0.0313418488,0.0101176632,0.0286069042,0.0010615123,-2.43766912852571E-18,0,0.151970661,-0.0072907424,-0.0049499056,0.0289610714
-0.0606223176,0.761672764,0.6607930363,0.0111634547,0.1149328402,0.1997036334,0.0203927731,-0.1110601761,-0.0221508819,0.1984542889,-0.06423437,-0.0039378913,0.142742121,-0.0220596602,-0.0680778196
-0.1986638537,-0.1123582486,-0.0089102348,-0.0018694568,0.0128702505,0.0056865898,0.0008818678,-0.0433395294,-0.0008626793,0.0002104034,0.0388765377,-0.0286068571,-0.0105112279,-0.0043084618,0.1161602711
0,-0.2080840633,-0.081816515,0.0012670628,-0.0669165892,-0.0792769089,-0.0192599135,-0.0493436973,-0.026984621,7.76898221628377E-19,-0.0119510695,-0.109178326,0.0056768851,0.0357408253,-0.0750244909
0,-0.1473722277,-0.0355213669,0.0025571946,-0.027395862,-0.0169299722,-0.0515894469,-0.09031588,-0.0834897866,0.0004338307,-0.0314815792,-0.1655747727,0.0136876006,0.0196004113,-0.0536978724
-0.0107496195,-0.1405836047,-0.0292335553,0.0023463773,-0.0021999477,0.0209497952,-0.0940155757,-0.1316296457,-0.124253645,0.0002760278,-0.0347404701,-0.1725490142,-9.38578329882725E-05,0.0103537051,-0.0710535987
-0.0532616893,-0.0854023255,-0.0750092795,0.0002301246,-0.0334586976,-0.0476385461,-0.0120765336,-0.0728116086,-0.035332475,0,0.0388051464,-0.164707435,-0.0034853862,-0.0002991523,0.0770599586
-0.0530217718,0.0006188075,-0.0582224649,-0.0002016492,-0.0457754355,-0.0605990605,-0.0744178294,-0.040564513,-0.0511657061,0,0.0164410354,0.0159985809,-0.0024147415,0.0028657985,-0.1033762438
0,0.0941293343,-0.0199046546,0.0029562333,0.0159524416,0.0424384828,-0.0858054865,-0.0921013355,-0.089854105,0.00013302,-0.0373976074,-0.2309457675,0.0076992754,0.0014222338,-0.0881470979
-0.0533824641,0.2334576201,0.0418097499,0.0022849935,0.0608860292,0.0584459591,-0.0598453315,-0.0096577536,-0.0056650379,-0.0009779684,0.1128443036,-0.1415769697,-0.0162446249,-0.0020571075,0.1509707366
-0.0634831461,-0.0630068436,-0.0621932005,0.0002593638,-0.0213972494,-0.0324342745,0.0160816056,0.0111554844,-0.0017308415,-6.53915085403541E-19,0.0175960446,-0.105981534,-0.0100561964,-0.0058092099,0.0644559322
-0.0721188913,-0.0045574205,0.0222641055,-0.0007047061,-0.0066333829,-0.0243326612,0.0619850294,0.060136104,0.0056550468,-0.0016564886,0.0399931276,0.4038439666,-0.023757764,-0.0056579412,0.0888627382
-0.0622246696,-0.0882519359,-0.0205267739,0.0002606064,-0.016812878,-0.0174174013,0.0261576779,0.0266382107,0.0015819676,0.0011820197,-0.0090446735,0.1494289961,0.0330635548,-0.0094601776,-0.0262384455
-0.1699398443,0.0234165765,0.0355204006,-0.0014404233,0.0393625606,0.0259722363,0.0604074554,0.091258986,0.0797515922,0.0013864849,0.0370953809,0.203806754,-0.0139499066,-0.0547708196,0.1338144201
