"open","open_lastclose_ratio","close_lastclose_ratio","close_ma15_ratio","close_ma30_ratio","sar_ratio","adosc5_ratio","adxr5_ratio","roc5_ratio","rocr5_ratio"
0.9211663067,0.2868014269,0.226770851,0.1955685224,0.4460463241,-0.0082506614,-0.0005298394,0.1755901874,0.2610105958,-0.1337780058
0.9265658747,0.0469626168,-0.2970627503,-0.0387326368,0.2335997756,-0.0080936333,-0.0018748991,-0.5251448645,0.04145894,-0.1670155821
0.9028077754,0,0.288961039,0.1262601255,0.3527022213,-0.0079394446,-0.0014026525,-0.788307057,-0.0484009608,0.4117695476
0.9362850972,0.2821052632,0.2676691729,0.2701135086,0.4612480708,-0.3894024734,0.0037284835,-0.3108612268,0.1224587306,0.2469483936
0.9524838013,0.2072164948,0.0728195058,0.2814146805,0.4647681438,0.0086546299,0.001880599,0.2321684196,0.0046465588,0.0378550407
0.9492440605,0.0228929385,-0.0289619265,0.2384496869,0.4116435463,0.0201625359,0.0004095649,-0.1389468215,-0.018175988,-0.1650812755
0.9460043197,0,0.1161121983,0.2822922334,0.4464914124,0.0301676922,0.0005599702,-0.0146044715,0.0564900799,0.2779653476
0.9568034557,0.0454751131,0.0431480284,0.2735081723,0.4392550466,0.0424708571,-0.0002347746,0.2873409846,-0.0134943716,-0.157918939
0.9611231102,0.0679819617,0.1863424062,0.3717131422,0.5126012015,0.0535658942,0.0002796782,0.4426548793,-0.0067306286,-0.0523328717
0.9568034557,-0.3126666667,-0.2401587302,0.1692470498,0.3441579742,0.0669669273,0.0012742229,-0.3223928654,-0.031623448,-0.2044669202
0.9535637149,0,-0.3599741142,-0.0771997567,0.1179003985,0.4871895189,-0.0001905094,-0.0104318689,-0.1786165526,-0.217983481
0.9211663067,-0.1171328671,0.1333666334,0.0163989347,0.1736431482,-0.009816783,-0.000109884,0.0599273158,-0.0024846429,0.0112341903
0.9384449244,0.046366782,-0.0879881364,-0.0546042251,0.1085621623,-0.0096317537,-0.0003550324,0.1353647156,0.0203197289,-0.0858697726
0.9287257019,-0.0233449477,-0.2658038825,-0.240885533,-0.05253705,-0.0094500026,-0.0006818749,-0.268887153,0.0449869442,-0.2927853013
0.9211663067,0.2384341637,0.4373834943,0.0347193541,0.1670292306,-0.024490602,-0.0002117328,-0.6935997731,-0.0311363356,0.4537403071
0.9589632829,0.3688073394,-0.1458060288,-0.0714481205,0.0713663068,-0.0235800325,-0.0008781171,-0.3741086036,-0.0532658153,0.1448162706
0.939524838,0.1865429234,0.0294995028,-0.0699369749,0.0711994201,-0.0067104255,-0.0018108167,-0.3220615466,-0.0675289828,-0.0675360278
0.9276457883,-0.1163194444,-0.5444775132,-0.4286887231,-0.23622301,0,-0.0064873859,0.4132698118,0.4035856524,-0.3020200746
0.8974082073,0.0972188634,0.2613577475,-0.2359635354,-0.1068377045,-0.0376044819,0.0023570167,-0.4776388611,-0.0399247836,0.3537598639
0.909287257,-0.0476303318,0.105450237,-0.146246367,-0.057960979,-0.0355078793,-0.0004490757,-0.4350884942,-0.8256593695,-0.210839048
0.9222462203,0.0708578143,-0.0747020312,-0.1774091759,-0.0988548392,-0.0335197292,-9.70258527534855E-07,-0.4252395929,-0.0088860778,0.0472598595
0.9082073434,-0.1187943262,-0.2554880108,-0.3157457874,-0.236980779,-0.0316353462,0.00095786,0.4006058927,0.04583174,-0.1868136238
0.8963282937,0.0242460796,0.2300534206,-0.1318284024,-0.1185659369,-0.0428435924,-0.0021928872,0.2979247059,-0.058429221,0.5316626967
0.9049676026,-0.1428909953,-0.1958361544,-0.2199748318,-0.2191567329,-0.0396190784,-0.001116885,-0.112280163,-0.0678037364,-0.2943423013
0.8920086393,-0.1209386282,0.0305999656,-0.1651065343,-0.2002716598,-0.0366230555,-0.0067543321,-0.029719886,0.0144664026,-0.0487747952
0.8909287257,-0.1930372149,0.0610529926,-0.1088572666,-0.1584816898,-0.0338414123,0.0061870953,-0.1697751356,-0.0192656743,0.0897231054
0.8930885529,-0.2401433692,0.1670933606,0.019567733,-0.063281573,-0.0312606006,0.0026428767,-0.0259615287,-0.1222660097,0.2833448803
0.9319654428,0.3555424528,0.164925876,0.1362967608,0.0230747668,-0.3608457695,-0.0014517023,0.7634734226,-0.0087039352,-0.0420306376
0.9406047516,0.2807916182,0.0148012639,0.1347183715,0.0257693796,0.0121936152,-0.0030570507,0.6313864275,0.0373486974,0.1405614198
0.9265658747,-0.046744186,-0.0443521595,0.1139121598,-0.0029819668,0.0119323446,-0.0214049646,-0.4254646217,-0.0067598496,-0.0491280088
0.9287257019,0.070361727,-0.1483580597,0.0195908864,-0.0818971992,0.0116770364,0.0005556317,-0.688418264,-0.0226874316,-0.1369330658
0.9168466523,0.0474616293,-0.3152302243,-0.174742755,-0.2501278025,0.5713769671,0.0049140251,0.4290197824,-0.1229272382,-0.3127931933
0.8920086393,0,-0.215496368,-0.3119597255,-0.3529940541,-0.011365057,0.0028833275,0.5862514754,0.0429855579,-0.2467503519
0.8725701944,-0.0990147783,-0.3601337087,-0.5179739026,-0.5193705301,-0.0264786839,0.0017308578,0.3507104221,0.0197244747,-0.2460593393
0.8617710583,0.2292775665,0.4995473475,-0.1683686528,-0.2505749705,-0.0536629213,-0.000063697,-0.6890555052,-0.0184906236,0.3586125496
0.8952483801,0.2206097561,-0.0775261324,-0.1999901029,-0.2755534065,-0.0507689236,0.0002284298,-0.6201385081,-0.0048421162,0.0470885871
0.8920086393,0.2712883436,-0.1560035057,-0.2899036864,-0.3371337636,-0.0480142738,-5.50029187920993E-05,0.2941798372,-0.012677206,0.1072774637
0.8812095032,0.2746583851,0.0157941437,-0.2530148417,-0.3076169826,-0.0613005478,0.0001350781,0.6269107953,-0.0274950827,0.1545863078
0.843412527,-0.6234491315,-0.7256292095,-0.6981703328,-0.6530277938,-0.0568129518,0.0015493766,0.245644061,0.1540428206,-0.2471441019
0.8207343413,0,-0.2342105263,-0.7919054186,-0.7354741431,-0.0923167588,0.0012833053,0.0176680897,0.0564063671,-0.4638794297
0.8056155508,0,-0.0340865569,-0.7521195775,-0.7237223208,-0.1139324525,0.0006566001,0.5051224087,-0.001343215,0.0287164669
0.8110151188,0.1891129032,0.1196236559,-0.6100398294,-0.6354116736,-0.1284594677,3.14833930835067E-05,0.3688775306,-0.0089144579,0.1833466294
