"close_lastclose_ratio","volume_ma5_ratio","trsrange_ratio","ma5_ratio","dmi5_ratio","apo5_ratio","aroonup5_ratio","macdhist5_ratio","dx5_ratio","cmo5_ratio"
-0.1239316239,-0.124697954,0.0111607143,0.1249920495,0.1555021537,0.0212150434,-0.05,-0.0029327307,0.1555021537,0.0228875627
0.3210825773,-0.0056540949,0.1470588235,0.3068186383,0.0010439321,0.0077763766,-0.0666666667,0.0028081363,0.0010439321,-0.0318435509
-0.2449841605,-0.1561467065,-0.0460829493,-0.2285522296,-0.0065434855,-0.0079828938,-0.1,-0.0030915296,-0.0065434855,-0.034459072
0.1953758996,-0.149451795,-0.0621118012,-0.019143462,1.21006013322955E-17,-0.0077799389,-0.2,0.0015650695,1.21006013322955E-17,-0.0338845116
0,-0.1874625877,0.0238095238,0.076606509,0.0174048652,-0.0021152829,0.4,-0.0005833188,0.0174048652,-4.10297020246731E-18
0.0175544794,-0.2156428566,-0.0105042017,0.1529520634,0.0061181749,0.0018214936,-0.1,-0.0009781118,0.0061181749,0.0049960044
0.1227513228,0.0105322134,-0.0223214286,0.0476352537,-0.0019786493,-0.0147540984,-0.2,0.0012287587,-0.0019786493,0.0280271132
-0.1740696279,0.0572614898,-0.0510204082,0.0856525881,0,0.1803278689,0.6,-0.0044318988,0,-0.0217546814
-0.2111010009,0.2279295937,0.1428571429,-0.1329836813,-0.0004492408,-0.0054644809,-0.0666666667,-0.0197726488,-0.0004492408,0.1291151489
-0.712749616,0.516271249,0.2579365079,-0.5144607395,0.0304827558,-0.0423497268,-0.1,0.0227479411,0.0304827558,0.0245655425
-0.391011236,0.2313802751,-0.0568181818,-0.7324480033,0.0017908022,0.0396893874,-0.2,0.0024925977,0.0017908022,0.0025198583
-0.0953476903,-0.191796352,-0.0892857143,-0.8621617126,0,0.0117276166,0,-0.0006607101,0,0.0004590711
0.4411375661,-0.1703230945,0.1428571429,-0.5494003238,-0.0068022981,0.0047048445,0,-0.004214168,-0.0068022981,-0.0126680739
-0.2055081334,-0.2708707641,-0.0330687831,-0.5460931228,0.0007267368,0.0022848004,0,-0.0039867758,0.0007267368,0.0081714267
0.189171559,0.0706117444,-0.0405844156,-0.0409493754,-2.29759079621168E-18,-0.0025066426,0,-0.0165230909,-2.29759079621168E-18,-0.0101930542
0.5985166075,0.5172478464,0.2205882353,0.5020877487,-0.004605468,-0.0073977629,1,0.019237887,-0.004605468,-0.0478626026
-0.2346716464,-0.0191287504,-0.1080827068,0.4154684257,-1.7343106397727E-18,-0.0139128559,-0.04,-0.0008438658,-1.7343106397727E-18,-0.0145460161
0.1464877664,-0.0616177443,0.0833333333,0.261052268,-0.0130541256,-0.0577334284,-0.05,-0.0002650684,-0.0130541256,0.0317233286
0.2722578626,-0.0564068225,0.0243506494,0.5190865907,0.3947747255,0.0299604296,0.1333333333,0.0008352601,0.3947747255,0.0198937671
-0.0357142857,-0.2722027386,-0.0642857143,0.3947339789,0,0.0043982407,-0.04,-0.0013234751,0,-0.0024854383
-0.0715828448,-0.1290534672,-0.0111607143,0.0391294031,0,-0.0035466583,-0.05,-0.0026208136,0,-0.0063980957
-0.1437867989,-0.1718494498,-0.0238095238,0.0879644995,-0.0039302825,-0.0032183446,-0.0666666667,-0.0052182607,-0.0039302825,-0.0187796039
-0.0906533292,-0.1191056848,0.0274725275,-0.0390188921,-0.0075405044,-0.0037542235,-0.1,-0.0200199956,-0.0075405044,-0.8445816786
-0.0182303945,0.0038148378,-0.0833333333,-0.1952641448,0,-0.0116864145,-0.2,0.0029841832,0,0.0042172343
-0.018250472,-0.0802019114,0.1116071429,-0.1863111622,-0.0074139206,-0.0333521764,0,2.68827281521106E-05,-0.0074139206,0.0040644306
0.2192471255,0.0180883347,0.0274725275,-0.0295401251,0.0064927061,0.0038251366,0,-0.0067908995,0.0064927061,-0.0451695686
0.1442561791,0.0879159931,-0.0357142857,0.1280914793,0.0552459824,-0.0017722641,1,0.0819429734,0.0552459824,0.0145140202
0.2323932809,0.4277555867,0.0446428571,0.3045800204,0.0071872148,-0.0173869846,0,0.0064731699,0.0071872148,0.0091688294
-0.6875379939,0.2379872615,0.3214285714,-0.068312743,-0.0085371073,0.106557377,-0.04,-0.0098921047,-0.0085371073,-0.0278094909
-0.3678452513,-0.0386514754,-0.093537415,-0.2541196653,0.0126726,-0.0076502732,-0.05,0.0133164026,0.0126726,0.0134909052
-0.0564293822,-0.3025191486,-0.0446428571,-0.403008011,0.0013141436,-0.0778688525,-0.0666666667,0.0004049944,0.0013141436,0.0010536739
0.0754962577,-0.2614647651,-0.0952380952,-0.4463319095,0.0003396356,0.0316939891,-0.1,-0.001958631,0.0003396356,-0.0041582971
-0.0751538711,0.1462375898,0.2806122449,-0.621120345,-0.0083714889,0.0173248882,-0.2,-0.0019812244,-0.0083714889,0.0026011455
0.132118451,-0.1496784809,-0.0793650794,-0.1625375207,-5.19177120613469E-18,0.0008151436,0,-0.0049861751,-5.19177120613469E-18,-0.0096339388
-0.0374495561,0.1860800066,-0.0357142857,0.0203910037,0,-0.0024158758,0,-0.0101375947,0,0.0036782864
-0.3753437955,0.4063118971,0.3125,-0.1528631075,0.0252268174,-0.0026310463,0.4,-0.032170193,0.0252268174,0.0223308471
-0.3456381394,0.3740378435,0.0243506494,-0.3783504062,0.0050159851,-0.0009643202,-0.1,0.0089479951,0.0050159851,0.0049087212
0.3726120034,0.0184562196,-0.0428571429,-0.144376174,-0.0033032503,-0.006147541,-0.2,-0.0051123954,-0.0033032503,-0.0134629678
0.2493386243,-0.1154942147,0.037593985,-0.082766802,-0.0129618322,-0.0016393443,0.2,-0.0288148991,-0.0129618322,-0.0225559605
0.283433784,-0.1525180338,-0.0077639752,0.0932846055,0.0541630276,-0.0015938069,0.8,0.0070817316,0.0541630276,0.1097301972
-0.0743113389,-0.2508327736,-0.0162337662,0.2585866741,0.0053797791,-0.0100882724,0,-0.0005182349,0.0053797791,-0.0065336341
-0.0933075933,-0.3480800036,-0.0803571429,0.3908011048,0,-0.0491803279,-0.04,-0.0021343568,0,-0.013076964
-0.2064390875,0.0266679819,0.0649350649,0.0815640147,-0.0063716942,0.0072131148,-0.05,-0.0049004348,-0.0063716942,-0.0820007364
-0.0950196592,-0.0441271113,0.0119047619,-0.1017701498,0.021338375,-0.0004553734,-0.0666666667,-0.0129583366,0.021338375,0.009928942
-0.0382270555,-0.0955423682,-0.0111607143,-0.2754036194,0,-0.0084309133,-0.1,0.0038378021,0,0.0027661854
-0.1341040462,0.173012489,0,-0.3078925035,0.0093012437,-0.0265188042,-0.2,0.0031485641,0.0093012437,0.0082100329
0.3283383283,0.0310417988,0.0952380952,-0.0826715583,-0.0122148223,0.0359094457,0,-0.0085791531,-0.0122148223,-0.0227070056
-0.0568163265,0.0228685025,-0.0465838509,0,-0.0073976474,0.001957426,0,0.0046151408,-0.0073976474,-0.0182524247
-0.1330275229,-0.0169494791,-0.0840336134,-0.0207060134,-1.09900017406101E-16,-0.0017486339,0.8,-0.0046385102,-1.09900017406101E-16,-1
-0.3065235343,-0.0099976256,0.1388888889,-0.1657245309,0.2459689647,-0.0026914607,-0.05,-0.0459793953,0.2459689647,0.0304917106
0,0.0531843863,-0.0558035714,-0.093565388,-7.29450199384844E-18,-0.006147541,-0.0666666667,0.0004214033,-7.29450199384844E-18,3.01811020510955E-18
-0.1561500925,0.1605899824,0.0162337662,-0.3542073465,0.0060129458,0.0121779859,-0.1,0.001161839,0.0060129458,0.0048430015
-0.039408867,-0.0037327805,-0.0148809524,-0.3465230761,0.000394272,0.0088685837,-0.2,-0.0011640456,0.000394272,0.000899184
-0.2370168568,0.3788167018,0.6493506494,-0.402130008,0.0061322195,0.0062783397,0,0.0019328606,0.0061322195,0.004158279
-0.0200380031,-0.004998249,-0.0840336134,-0.2455940005,2.2631091788782E-18,0.0008827238,0.2,-0.0015777236,2.2631091788782E-18,0.0002366503
