"close","volume_lastvolume_ratio","ad_ratio","b_middle5_ratio","ema5_ratio","dmi5_ratio","macd5_ratio","macdhist5_ratio","cmo5_ratio","rocp5_ratio"
0.4639838312,0.0178427101,-0.089365383,0.024745801,0.0893305207,-0.0036535386,-0.0051558517,-0.0067001521,-0.0068673628,-0.0163991748
0.4644027844,-0.016759103,0.0381586505,0.0277726352,0.0642305496,0.0729366713,-0.0110787934,0.0040037149,0.0003203599,0.0016590499
0.466097013,0.0073413257,0.063883216,0.1017985514,0.0627902282,0.0007113539,0.0165336731,0.0006594175,0.0013699551,0.0366681312
0.466097013,-0.028703499,0.0190639557,0.0644040351,0.0417007936,-0.0008699236,0.0023009105,-0.0007943249,0,-0.0049585256
0.4635648779,0.0022699325,0.0711601058,0.0794640402,-0.0021748428,0.0007364931,-0.0014534654,-0.0027381256,-0.0031640474,0.0033630444
0.4614470922,0.0280931546,-0.0064945846,-0.0182485629,-0.0264648478,-0.0022034414,-0.0034916433,-0.0067446656,-0.0096594858,-0.0163935102
0.4593385142,-0.0364758188,0.0520501822,-0.0364706946,-0.0426178763,5.31267360352422E-19,-0.008113313,0.0094139326,0.0069373198,0.0133091136
0.456382822,0.0268325665,0.0737235911,-0.0701103595,-0.0635449658,0.0053361878,0.079129805,0.0026036245,0.0031488195,0.0121936096
0.4496151155,0.1961072922,0.0938489517,-0.1194559437,-0.1231151001,0.00446093,0.0116486797,0.0030722725,0.0026183953,0.0093228563
0.4568017753,-0.0275903608,-0.0060031929,-0.049369716,0.0035257406,0,-0.0014511261,-0.0026844904,-0.0036809057,-0.0078607751
0.4483490479,0.0076227661,0.0821172095,-0.0958970872,-0.0990400377,0.0005687021,0.0036424657,0.0030149685,0.016213542,0.0126535496
0.4479254908,-0.0390736004,0.0603001818,-0.0840422832,-0.0715384482,0.000032642,0.0010517578,-0.0005273932,0.0001391298,-0.0016679973
0.4504668336,-0.0069165373,0.0415532333,-0.0437837555,-0.0170986108,-0.0005658008,-0.0008198146,-0.0030069595,-0.0019610026,-0.0064003586
0.4483490479,-0.0509541505,0.0056042143,-0.0093946668,-0.0371062243,0.0002779018,-0.0001104475,-0.0022301681,0.0019092491,-0.0104748737
0.4335567751,0.2864660208,0.1866935491,-0.1725830591,-0.204675621,0.0009083222,0.0053960327,0.0443662237,0.0049562633,0.2284424944
0.4314481971,-0.0667026465,0.0828817216,-0.1267895467,-0.1641364861,6.97554548197131E-05,0.0017267598,0.0005684346,0.0001826382,-0.0034687972
0.4314481971,0.0485867956,0.1105179525,-0.1245566066,-0.1105284487,-0.0023665953,0.0003230369,-0.0012802296,0,-0.0003230282
0.4331378218,-0.066849545,-0.0107510213,-0.1319782143,-0.0530264593,0.0001669772,-0.000565385,-0.0029905447,-0.000981108,0.0006123134
0.4225719126,0.1216178113,0.113298599,-0.1978813827,-0.1682046474,0.0024497266,0.0012456193,0.0060741545,0.0016078582,0.0066178233
0.4521518544,0.1699527474,-0.2615929391,0.144457169,0.2621592937,-0.0027057335,-0.0046721658,-0.0162218069,-0.0060009074,-0.0233644811
0.4525708077,-0.0463572598,0.0502414724,0.1626868275,0.1772623304,0.0058116354,-0.0078766123,0.0014288719,0.0001010081,0.0018932048
0.4436991271,-0.0780855307,0.0694990768,0.0934476471,0.0072576083,-0.001082718,0.0016138351,-0.0017121373,-0.003859406,-0.0056204672
0.4479254908,-0.0112795218,0.0160183043,0.1121704387,0.0570520135,1.80020067014037E-18,0.0174792114,-0.0007635287,0.0172123929,0.00270789
0.4403198777,0.0046280152,0.0711224422,0.1337282876,-0.0557373783,-0.0026034479,-0.0066879911,-0.0033352453,-0.007111387,0.0030804344
0.4382066959,0.0061833981,0.014479109,-0.1042409355,-0.0633908214,0.0024391481,-0.0859682825,-0.0078127417,0.0026922599,-0.0232084329
0.4458123089,0.0373432414,-0.0506924027,-0.0508371617,0.0518988562,-0.0027141626,-0.0076279745,-0.0093073954,-0.0072666865,-0.006902329
