"volume","high_close_ratio","low_close_ratio","close_lastclose_ratio","volume_ma10_ratio","close_ma60_ratio","trsrange_ratio","natr5_ratio","adosc5_ratio","apo5_ratio","macdhist5_ratio","cci5_ratio","cmo5_ratio","ppo5_ratio","ultosc5_ratio"
0.1064066074,0.1254537205,-0.1169415292,-0.115967366,0.0418506639,-0.0458892057,0.0666666667,-0.0641544588,-0.0003982088,-0.0176423416,0.0287820151,1.10947125286651E-13,7.35008842078468E-05,-0.0176259687,0.0432606828
0.0571664502,0.1672716273,-0.0779610195,0,-0.0615337858,-0.0443292937,0,-0.062778735,9.60844328507558E-05,0.0033222591,-0.0002068671,-6.97172994988062E-15,1.20264829374022E-20,0.0034078339,-0.1108052804
0.0667777429,0.2055456438,-0.1915991157,0.2339341693,-0.0373376823,0.0362250716,0.1111111111,0.0740454316,1.82938099931969E-06,0.011627907,-0.003623446,-4.46759925475281E-14,-0.0001366274,0.0116360214,0.0487096084
0.0486894357,0.0822182575,-0.1532792926,0,-0.075477947,0.0355450115,-0.0606060606,-0.0666632156,-0.0005055615,-0.0135658915,0.0002110936,-6.65104507875348E-15,0,-0.013578117,0.1066051886
0.0353534582,0.1243814665,-0.077294686,-0.1149845917,-0.1026362519,-0.0047245611,-0.0222222222,-0.076539863,-0.0002834036,-0.0139534884,-0.0003239306,-1.31001225512625E-14,-0.000177586,-0.013955274,-0.0342857141
0.0807379148,0.2466547725,0,0.115967366,0.0168852994,0.0348651448,0.1066666667,0.04140874,0.0117089349,-0.0465116279,0.0002233293,1.74016652939209E-13,-0.0002069125,-0.0464911948,-0.050281719
0.0850630615,0.1216097346,-0.1511444835,0.1916409861,0.04115504,0.1011973908,-0.0148148148,-0.0067579809,0.0002258291,0.1976744186,0.0005760105,2.94631370055829E-15,0.0002127055,0.1974987696,0.0537198632
0.1000918411,0.3307416268,-0.1541501976,-0.2645606483,0.0758568308,0.0060709799,0.0666666667,0.1523428514,0.0002736819,0,-0.0005355349,-1.89405880750174E-14,-0.0001193476,0.000026438,-0.0804619237
0.108123792,0.2952707857,0,-0.2698217975,0.080190556,-0.0892489643,-0.0555555556,-0.0203920912,0.00059308,-0.0159118727,-0.0030397206,3.68289212569762E-14,0.0002880492,-0.0159125258,-0.1470651566
0.0466269935,0.1265446224,-0.0393194707,0,-0.0686091835,-0.0905720564,-0.0571428571,-0.1194589607,0.000197555,-0.023255814,0.0001291699,-3.4746974441282E-15,-1.89587898005156E-20,-0.0232720429,-0.0397977369
0.0556440012,0.1687261632,-0.0393194707,0,-0.035053655,-0.0910129199,0.0333333333,-0.0754470887,0.000111599,-0.0581395349,-0.000145245,-5.42455539696373E-15,-1.89587898005156E-20,-0.0583294146,-0.0460354009
0.0683505827,0.0848549946,-0.0790974775,-0.0786561265,-0.0032249314,-0.1175414032,-0.0266666667,-0.0917176558,0.000008326,0.0418604651,-7.37924051032613E-05,1.05941308960791E-14,2.42624780946828E-05,0.0419827122,-0.0932075279
0.0561823688,0.0424274973,-0.0790974775,0,-0.0337098321,-0.1168837857,-0.0333333333,-0.1219497844,-7.43085135783066E-05,0.003875969,-0.0002556728,-1.95884244208312E-15,1.51392562135889E-20,0.0039642246,0.0056168643
