"close_lastclose_ratio","volume_ma15_ratio","trsrange_ratio","b_middle5_ratio","ema5_ratio","adx5_ratio","aroonup5_ratio","willi5_ratio","cmo5_ratio","ppo5_ratio"
0.2722578626,0.0391041803,0.0243506494,0.5190865907,0.3829112102,0.0554195124,0.1333333333,-0.0128710342,0.0198937671,0.0299756188
-0.0357142857,-0.1149912147,-0.0642857143,0.3947339789,0.221628677,0.043108948,-0.04,0.036589404,-0.0024854383,0.0043155076
-0.0715828448,-0.0935066984,-0.0111607143,0.0391294031,0.0845382276,0.0337403457,-0.05,0.0203607158,-0.0063980957,-0.0036226838
-0.1437867989,-0.1341282495,-0.0238095238,0.0879644995,-0.06841734,-0.0933385328,-0.0666666667,0.0281456954,-0.0187796039,-0.0032914633
-0.0906533292,-0.1323521383,0.0274725275,-0.0390188921,-0.1237245977,-0.2503911357,-0.1,0.0436111686,-0.8445816786,-0.0037853979
-0.0182303945,-0.1115998079,-0.0833333333,-0.1952641448,-0.0983746006,-0.2298648692,-0.2,0.0004219744,0.0042172343,-0.0117047941
-0.018250472,-0.1320569754,0.1116071429,-0.1863111622,-0.0814227852,-0.3068837164,0,-0.0023454746,0.0040644306,-0.0333186062
0.2192471255,-0.0892436266,0.0274725275,-0.0295401251,0.1342419714,-0.2447363878,0,-0.0427475975,-0.0451695686,0.0038235413
0.1442561791,-0.0519234501,-0.0357142857,0.1280914793,0.2145750507,0.4467155921,1,-0.0254393785,0.0145140202,-0.001807621
0.2323932809,0.150684668,0.0446428571,0.3045800204,0.3450345841,0.6490810901,0,-0.030614616,0.0091688294,-0.0173868614
-0.6875379939,0.1021789694,0.3214285714,-0.068312743,-0.3750506816,-0.0980401582,-0.04,0.9403220951,-0.0278094909,0.1069364487
-0.3678452513,-0.008062349,-0.093537415,-0.2541196653,-0.5643171646,0.2025452478,-0.05,0.0041188822,0.0134909052,-0.0076083924
-0.0564293822,-0.1363846685,-0.0446428571,-0.403008011,-0.428657599,0.1984362059,-0.0666666667,-0.0008660214,0.0010536739,-0.0781791765
0.0754962577,-0.1123198352,-0.0952380952,-0.4463319095,-0.224768529,0.1573552223,-0.1,-0.0043178055,-0.0041582971,0.0318691031
-0.0751538711,0.0979144043,0.2806122449,-0.621120345,-0.214855623,-0.1940462407,-0.2,-0.0014474929,0.0026011455,0.0174435605
0.132118451,-0.096994335,-0.0793650794,-0.1625375207,-0.0310048933,-0.1724150984,0,-0.0186292894,-0.0096339388,0.0008592688
-0.0374495561,0.0563639055,-0.0357142857,0.0203910037,-0.0529803579,-0.1513285668,0,-0.0087955298,0.0036782864,-0.0023788763
-0.3753437955,0.2605939282,0.3125,-0.1528631075,-0.3587178072,0.3463361878,0.4,0.0490279855,0.0223308471,-0.002545035
-0.3456381394,0.3432794631,0.0243506494,-0.3783504062,-0.5346306,0.4649631395,-0.1,-0.0039181108,0.0049087212,-0.0008212665
0.3726120034,0.1010109718,-0.0428571429,-0.144376174,-0.0472341635,0.133248053,-0.2,-0.0266485839,-0.0134629678,-0.0060596229
