"volume_lastvolume_ratio","ad_ratio","ma5_ratio","wma5_ratio","apo5_ratio","aroonup5_ratio","aroonosc5_ratio","rsi5_ratio","macdhist5_ratio","cmo5_ratio"
-0.0191783608,0.0083852834,0.1514321637,0.156268352,0.0435758247,0,0.0555555556,0.0029666451,0.000822847,0.0003950142
0.3020940387,-0.4864450281,0.3321576372,0.3612483528,0.0282282266,0,0.0416666667,0.0137303652,0.0053263788,0.0017252648
-0.0819399403,0.0359078991,0.2818460665,0.281103807,0.0106985148,0,0,0.0006131342,-0.0001611619,6.27789042106168E-05
-0.039098129,-0.120627135,0.28328006,0.1959910477,0.0091335783,-0.04,-0.0333333333,-1.46716012196548E-17,-0.0013872532,-1.48998976103978E-18
-0.019057832,0.2037100917,0.1817257118,0.0910626661,0.0009391529,-0.05,-0.0416666667,-0.007700479,-0.0026797184,-0.0007820302
0.0961033134,-0.2706963736,0.2037608717,0.0991905182,0.0014665409,-0.0666666667,-0.0555555556,0.0043239535,-0.0020736221,0.0004942413
0.0844676069,0.5568022078,0.0236358149,0.013780366,-0.006356584,0.3,0.25,-0.0100355597,-0.0080853609,-0.0010747059
-0.0691107715,0.057048174,0.0266292289,0.0328292924,-0.0069809297,-0.04,-0.1333333333,0.0032290434,0.003403119,0.0004136952
0.0085401324,0.2123273303,-0.0648758528,-0.1084765125,-0.0131804162,-0.05,0,-0.0403897937,0.0100234778,-0.0048768198
-0.0454142927,0.1394484611,-0.0888821048,-0.1466429773,-0.0200526101,-0.0666666667,0,-0.0172663642,0.0016420284,0.0077323682
-0.0293745649,-0.0981195701,-0.0864045275,-0.0561351084,-0.0805363237,-0.1,-0.8333333333,0.0334385982,-0.0011503049,-0.004315097
-0.0237950166,0.1147955447,-0.0957572414,-0.0703642912,0.0171172852,-0.2,0,-0.0127111353,-0.0004601809,-0.110977276
-0.0170800774,0.0396009571,-0.1385259614,-0.0778211699,0.0145029381,0,-0.0416666667,-0.0122903652,-0.0001940209,0.0036727352
0.2160030508,0.1933531002,-0.1487794155,-0.188396825,0.0046577094,0,0.1111111111,-0.0383801625,0.0022557279,0.0053301466
-0.0722548273,0.106736439,-0.1072299436,-0.1422663601,0.0007368387,0.4,-0.1,0.0048362242,-0.0005547848,-0.0001748994
0.006929056,8.1848391110455E-05,-0.1294863781,-0.0754850745,0.0018634385,-0.1,0,0.039748798,-0.0018607472,-0.0015772391
-0.0018473541,-0.1186536653,-0.018652107,0.0859115074,-0.0034910945,-0.2,0,0.0661737806,-0.00563942,-0.005971134
-0.0367342809,0.0298616343,-0.0062356093,0.0726523295,-0.0067751178,0,-0.0833333333,-0.0057463781,0.0049179959,-0.0021537022
-0.0245467219,0.0245593396,0.1150966956,0.0967105827,-0.0175872012,1,-1,0.0071392747,0.0012195579,0.005115218
0.1582305476,-0.0366487474,0.1761616352,0.1571828455,-0.0525113417,0,0,0.0217573442,0.0028988049,0.0075963696
-0.0273485763,0.084034693,0.1193152421,0.0604772136,0.0504865482,0,0,-0.0147178279,-0.001322956,-0.0022667226
0.1340753733,0.0235480446,-0.0151850419,-0.0495462916,0.000219789,-0.04,-0.0333333333,-0.0234455307,-0.0039839081,-0.0065520151
-0.0725941573,-0.0550968246,-0.0030132789,-0.045273962,0.0002204105,-0.05,-0.25,0,-0.0158425493,7.06684319036775E-19
