date,open,high,low,close,volume,close_ma5,volume_ma5,close_ma10,volume_ma10,close_ma15,volume_ma15,close_ma30,volume_ma30,close_ma60,volume_ma60
2019-10-24,30650,31150,30600,31050,167867,30940.0,216582.6,30600.0,238045.5,30156.666666666668,253040.26666666666,29871.666666666668,258320.63333333333,,
2019-10-25,30950,31250,30750,31150,154503,30980.0,186467.0,30740.0,230317.5,30253.333333333332,246351.53333333333,29938.333333333332,256569.53333333333,,
2019-10-28,31700,32000,31200,31350,241792,31090.0,192588.2,30855.0,226743.0,30396.666666666668,242767.26666666666,30011.666666666668,250612.7,,
2019-10-29,31400,31800,31350,31650,328929,31220.0,208340.6,31000.0,240314.3,30573.333333333332,255877.0,30080.0,243049.36666666667,,
2019-10-30,31650,31900,31450,31650,254850,31370.0,229588.2,31125.0,237712.1,30730.0,259411.8,30131.666666666668,243679.36666666667,,
2019-10-31,31600,31900,31250,31350,218293,31430.0,239673.4,31185.0,228128.0,30876.666666666668,238588.13333333333,30181.666666666668,244627.66666666666,,
2019-11-01,31250,32100,31250,31950,219988,31590.0,252770.4,31285.0,219618.7,31023.333333333332,237801.8,30265.0,243924.23333333334,,
2019-11-04,31600,32000,31150,31250,522549,31570.0,308921.8,31330.0,250755.0,31093.333333333332,254135.93333333332,30321.666666666668,253776.66666666666,,
2019-11-05,31000,31400,30250,30350,469702,31310.0,337076.4,31265.0,272708.5,31103.333333333332,272568.3333333333,30358.333333333332,257477.6,,
2019-11-06,30600,30700,30150,30200,370376,31020.0,360181.6,31195.0,294884.9,31090.0,278535.26666666666,30386.666666666668,265428.0,,
2019-11-07,30050,30600,30050,30350,235538,30820.0,363630.6,31125.0,301652.0,31063.333333333332,273295.5333333333,30421.666666666668,266303.2,,
2019-11-08,30350,30550,30150,30450,236446,30520.0,366922.2,31055.0,309846.3,31030.0,268719.86666666664,30430.0,262507.0333333333,,
2019-11-11,30500,31050,30450,31000,358434,30470.0,334099.2,31020.0,321510.5,31043.333333333332,278536.4,30473.333333333332,268027.5,,
2019-11-12,31000,31300,30650,31300,264174,30660.0,292993.6,30985.0,315035.0,31063.333333333332,279470.2,30533.333333333332,272347.76666666666,,
2019-11-13,31050,31500,31050,31400,241157,30900.0,267149.8,30960.0,313665.7,31096.666666666668,285639.86666666664,30595.0,271238.86666666664,29760.833333333332,284073.75
2019-11-14,31100,31150,30700,30950,273233,31020.0,274688.8,30920.0,319159.7,31090.0,292664.26666666666,30623.333333333332,272852.26666666666,29804.166666666668,283035.8333333333
2019-11-15,30550,31850,30500,31500,351116,31230.0,297622.8,30875.0,332272.5,31113.333333333332,305771.8,30683.333333333332,276061.6666666667,29855.0,284625.95
2019-11-18,31300,31900,31300,31450,167058,31320.0,259347.6,30895.0,296723.4,31120.0,300789.5333333333,30758.333333333332,271778.4,29903.333333333332,281779.68333333335
2019-11-19,31250,31500,30850,31450,277525,31350.0,262017.8,31005.0,277505.7,31106.666666666668,297362.6,30840.0,276619.8,29956.666666666668,278284.5333333333
2019-11-20,30900,31150,30600,30750,293612,31220.0,272508.8,31060.0,269829.3,31046.666666666668,299946.73333333334,30888.333333333332,279679.26666666666,29995.833333333332,277639.6
2019-11-21,30750,31250,29900,30350,350538,31100.0,287969.8,31060.0,281329.3,30980.0,308763.06666666665,30928.333333333332,273675.6,30031.666666666668,280000.3333333333
2019-11-22,30450,30500,29400,29500,420237,30700.0,301794.0,30965.0,299708.4,30816.666666666668,322113.0,30920.0,279957.4,30055.0,283978.48333333334
2019-11-25,29250,30050,29250,30000,203436,30410.0,309069.6,30865.0,284208.6,30733.333333333332,300838.8,30913.333333333332,277487.36666666664,30090.833333333332,280939.73333333334
2019-11-26,29900,30400,29800,29900,579019,30100.0,369368.4,30725.0,315693.1,30703.333333333332,308126.6,30903.333333333332,290347.4666666667,30125.0,287708.98333333334
2019-11-27,30350,30650,30150,30200,134895,29990.0,337625.0,30605.0,305066.9,30703.333333333332,292427.86666666664,30896.666666666668,285481.56666666665,30156.666666666668,286083.3
2019-11-28,29900,30200,29600,30150,205991,29950.0,308715.6,30525.0,298342.7,30690.0,290458.06666666665,30876.666666666668,281876.8,30188.333333333332,283715.35
2019-11-29,30250,30250,29200,29350,371663,29920.0,299000.8,30310.0,300397.4,30616.666666666668,299472.5333333333,30823.333333333332,284096.2,30204.166666666668,285044.3333333333
2019-12-02,29550,29950,29500,29950,239407,29910.0,306195.0,30160.0,307632.3,30546.666666666668,291537.4,30795.0,285036.9,30231.666666666668,284050.15
2019-12-03,30100,30200,29600,30150,205944,29960.0,231580.0,30030.0,300474.2,30470.0,287655.4,30766.666666666668,283562.8,30254.166666666668,279847.9666666667
2019-12-04,29400,30000,29350,29550,208408,29830.0,246282.6,29910.0,291953.8,30346.666666666668,285472.13333333336,30721.666666666668,285556.0,30264.166666666668,273793.7166666667
2019-12-05,29300,29550,29000,29250,215255,29650.0,248135.4,29800.0,278425.5,30233.333333333332,281606.93333333335,30661.666666666668,287135.6,30266.666666666668,272728.11666666664
2019-12-06,29350,29550,28900,29350,229446,29650.0,219692.0,29785.0,259346.4,30090.0,273495.6,30601.666666666668,289633.7,30270.0,273101.61666666664
2019-12-09,29100,29500,29100,29400,140697,29540.0,199950.0,29725.0,253072.5,29953.333333333332,271738.2,30536.666666666668,286263.86666666664,30274.166666666668,268438.2833333333
2019-12-10,29100,29400,29050,29150,198439,29340.0,198449.0,29650.0,215014.5,29800.0,266465.8,30453.333333333332,281914.2,30266.666666666668,262481.7833333333
2019-12-11,29400,29750,29150,29550,254625,29340.0,207692.4,29585.0,226987.5,29720.0,263866.6666666667,30383.333333333332,281906.7,30257.5,262793.0333333333
2019-12-12,29800,30000,29500,30000,518244,29490.0,268290.2,29570.0,258212.8,29696.666666666668,275047.06666666665,30338.333333333332,291905.06666666665,30260.0,268266.36666666664
2019-12-13,30350,30700,30150,30650,313180,29750.0,285037.0,29700.0,252364.5,29773.333333333332,267909.93333333335,30295.0,295011.4666666667,30280.0,269467.85
2019-12-16,30600,30700,30000,30250,542637,29920.0,365425.0,29730.0,282687.5,29790.0,290523.3333333333,30261.666666666668,295681.06666666665,30291.666666666668,274728.86666666664
2019-12-17,30000,30250,29900,30100,470182,30110.0,419773.6,29725.0,309111.3,29803.333333333332,283267.5333333333,30253.333333333332,295697.06666666665,30305.833333333332,276587.3333333333
2019-12-18,29850,30200,29800,29900,766954,30180.0,522239.4,29760.0,364965.9,29783.333333333332,325404.8,30243.333333333332,308916.3333333333,30315.0,287172.1666666667
2019-12-19,29900,30200,29800,30000,225039,30180.0,463598.4,29835.0,365944.3,29773.333333333332,326674.6666666667,30231.666666666668,308566.36666666664,30326.666666666668,287434.7833333333
2019-12-20,30150,30150,29750,29900,447048,30030.0,490372.0,29890.0,387704.5,29810.0,331700.3333333333,30213.333333333332,315586.43333333335,30321.666666666668,289046.73333333334
2019-12-23,29900,30100,29700,29950,254298,29970.0,432704.2,29945.0,399064.6,29810.0,332693.06666666665,30178.333333333332,312115.23333333334,30325.833333333332,290071.36666666664
2019-12-24,29900,30300,29900,30300,216787,30010.0,382025.2,30060.0,400899.4,29820.0,333415.93333333335,30145.0,310535.6666666667,30339.166666666668,291441.7166666667
2019-12-26,30500,30650,30200,30600,176187,30150.0,263871.8,30165.0,393055.6,29890.0,331267.86666666664,30118.333333333332,308370.0,30356.666666666668,289804.43333333335
2019-12-27,29750,29800,29500,29650,318395,30080.0,282543.0,30130.0,373070.7,29916.666666666668,338143.86666666664,30075.0,309875.4,30349.166666666668,291363.8333333333
2019-12-30,29800,29800,29450,29600,160145,30020.0,225162.4,30025.0,357767.2,29933.333333333332,333523.8,30011.666666666668,303509.7,30347.5,289785.68333333335
2020-01-02,29600,29750,29200,29250,225430,29880.0,219388.8,29925.0,326046.5,29923.333333333332,339172.6666666667,29938.333333333332,305455.43333333335,30348.333333333332,288616.9166666667
2020-01-03,29500,29500,29050,29150,937597,29650.0,363550.8,29830.0,372788.0,29923.333333333332,388449.86666666664,29861.666666666668,327457.8333333333,30350.833333333332,302038.81666666665
2020-01-06,29050,29250,28900,28950,158775,29320.0,360068.4,29735.0,311970.1,29883.333333333332,382059.86666666664,29801.666666666668,322963.26666666666,30345.0,301321.26666666666
2020-01-07,28750,29200,28700,29150,211623,29220.0,338714.0,29650.0,310628.5,29826.666666666668,361618.4666666667,29761.666666666668,318332.76666666666,30345.0,296004.18333333335
2020-01-08,28600,28650,28050,28500,330905,29000.0,372866.0,29510.0,299014.2,29683.333333333332,362800.13333333336,29728.333333333332,315355.0333333333,30324.166666666668,297656.2166666667
2020-01-09,28400,29050,28400,29000,415466,28950.0,410873.2,29415.0,315131.0,29600.0,354322.06666666665,29695.0,322422.7,30304.166666666668,299955.0333333333
2020-01-10,28550,29100,28500,29000,301108,28920.0,283575.4,29285.0,323563.1,29526.666666666668,343050.4666666667,29665.0,313159.0,30284.166666666668,301753.23333333334
2020-01-13,29000,29450,28800,29400,357270,29010.0,323274.4,29165.0,341671.4,29493.333333333332,315738.2,29638.333333333332,320571.5,30267.5,303026.5333333333
2020-01-14,29500,29500,29100,29300,342988,29040.0,349547.4,29130.0,344130.7,29446.666666666668,323601.4666666667,29610.0,325138.06666666665,30243.333333333332,303507.43333333335
2020-01-15,29150,29500,29050,29500,218209,29240.0,327008.2,29120.0,349937.1,29420.0,308345.5333333333,29615.0,320022.93333333335,30219.166666666668,302059.56666666665
2020-01-16,29150,29200,28600,28800,510462,29200.0,346007.4,29075.0,378440.3,29343.333333333332,325423.13333333336,29576.666666666668,329058.1,30185.833333333332,307047.5
2020-01-17,28600,28800,28550,28600,405335,29120.0,366852.8,29020.0,325214.1,29230.0,337993.0,29525.0,335704.4666666667,30145.833333333332,309633.63333333336
2020-01-20,28500,28950,28450,28700,304142,28980.0,356227.2,28995.0,339750.8,29103.333333333332,346523.3333333333,29496.666666666668,338895.6,30109.166666666668,312225.8
2020-01-21,28700,28750,28350,28350,267792,28790.0,341188.0,28915.0,345367.7,29016.666666666668,343149.8,29466.666666666668,340646.8333333333,30064.166666666668,313891.2166666667
2020-01-22,28650,28950,28550,28850,315836,28660.0,360713.4,28950.0,343860.8,28966.666666666668,353529.2,29450.0,343526.5,30025.833333333332,316580.1
2020-01-23,28600,28800,28450,28600,508864,28620.0,360393.8,28910.0,353200.6,28923.333333333332,372424.8,29423.333333333332,355798.73333333334,29980.0,321031.3
2020-01-28,28100,28450,27600,27650,525421,28430.0,384411.0,28775.0,375631.9,28823.333333333332,344946.4,29373.333333333332,366698.13333333336,29913.333333333332,324306.1666666667
2020-01-29,27600,27650,27100,27300,307883,28150.0,385159.2,28565.0,370693.2,28713.333333333332,354886.93333333335,29298.333333333332,368473.4,29840.833333333332,325190.05
2020-01-30,27350,28050,27200,28000,507576,28080.0,433116.0,28435.0,387152.0,28636.666666666668,374617.13333333336,29231.666666666668,368117.8,29785.0,330011.43333333335
2020-01-31,28300,28300,27500,27550,384395,27820.0,446827.8,28240.0,403770.6,28573.333333333332,378183.13333333336,29128.333333333332,370491.63333333336,29711.666666666668,332751.55
2020-02-03,27550,27600,27050,27100,434299,27520.0,431914.8,28070.0,396154.3,28446.666666666668,379438.6666666667,29023.333333333332,366880.36666666664,29642.5,331280.7166666667
2020-02-04,26950,27250,26500,26800,634520,27350.0,453734.6,27890.0,419072.8,28300.0,401666.13333333336,28913.333333333332,372358.3,29583.333333333332,334027.68333333335
2020-02-05,26700,26950,26650,26750,412730,27240.0,474704.0,27695.0,429931.6,28123.333333333332,405363.4666666667,28808.333333333332,360550.8333333333,29525.833333333332,334733.5833333333
2020-02-06,27100,27850,27100,27650,270219,27170.0,427232.6,27625.0,430174.3,28013.333333333332,400512.2,28730.0,362056.8333333333,29480.833333333332,335311.6
2020-02-07,27400,27750,27250,27300,376421,27120.0,425637.8,27470.0,436232.8,27866.666666666668,411059.6666666667,28643.333333333332,359702.6,29428.333333333332,337644.51666666666
2020-02-10,27100,27400,27000,27050,622853,27110.0,463348.6,27315.0,447631.7,27750.0,418552.4,28546.666666666668,371987.76666666666,29362.5,342051.5
2020-02-11,27050,27550,26950,26950,452954,27140.0,427035.4,27245.0,440385.0,27640.0,421727.0,28435.0,379860.0,29290.0,345197.8333333333
2020-02-12,26900,27500,26600,27200,692906,27230.0,483070.6,27235.0,478887.3,27540.0,447644.6,28321.666666666668,397083.9666666667,29220.0,352726.98333333334
2020-02-13,27150,27400,26800,26850,470372,27070.0,523101.2,27120.0,475166.9,27440.0,461149.93333333335,28228.333333333332,402149.86666666664,29151.666666666668,356012.63333333336
2020-02-14,26650,26950,26500,26650,317412,26940.0,511299.4,27030.0,468468.6,27293.333333333332,461255.0,28130.0,407392.1,29070.833333333332,355450.9
